id,psu_no,pid,district,weight,code_ur,a01,a02,a04,d05,d24,indd03,wap16,employed16,ur1,lfpr,sub,jobsearch,plf,youth,young,main_sect,attained,cash,age5,age10,usualhrs,usual_h,act_hrs,acthrs,ya,usualhrsc,usualhc,status1,lfs_round,district_1,c21,tvt,a0a,a0b,a0c,a0d,a1a,a1b,i08,i09,i10,i11,i12,lfs_year,weight2,d03b1
22,1119,11190801,11,238.0989206236894,1,1,1,34,1,,13,1,100,0,100,2,1,,,,3,5,200000,7,2,3,35,49,5,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,69
23,1119,11190802,11,238.0989206236894,1,1,11,32,4,,8,1,100,0,100,2,1,,,,3,5,,7,2,5,54,54,5,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,49
24,1119,11190901,11,238.0989206236894,1,1,1,52,1,,5,1,100,0,100,2,1,,,,2,3,96000,11,3,4,48,48,4,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,36
25,1119,11190902,11,238.0989206236894,1,2,2,48,,,,1,0,,0,2,1,2,,,,3,,10,3,,,,,2,,,3,9,,,,,,,,,,,,,,,2020,59.52473068237305,
26,1119,11190905,11,238.0989206236894,1,2,3,21,,,,1,0,,0,2,1,,1,1,,4,,5,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,59.52473068237305,
27,1119,11190906,11,238.0989206236894,1,1,3,20,,,,1,0,100,100,2,1,,1,1,,3,,5,1,,,,,1,,,2,9,,ACE,,,,,,,,,,,,,2020,59.52473068237305,
28,1119,11190907,11,238.0989206236894,1,2,5,2,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
29,1119,11191001,11,238.0989206236894,1,1,1,35,,,,1,0,100,100,2,1,,,,,5,,8,3,,,,,2,,,2,9,,FG,,,,,,,,,,,,,2020,59.52473068237305,
30,1119,11191002,11,238.0989206236894,1,2,2,37,4,,7,1,100,0,100,2,1,,,,3,2,,8,3,6,63,63,6,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
31,1119,11191003,11,238.0989206236894,1,2,3,8,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
32,1119,11191101,11,238.0989206236894,1,1,1,40,4,,8,1,100,0,100,2,1,,,,3,2,,9,3,4,42,24,1,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,49
33,1119,11191102,11,238.0989206236894,1,2,2,32,1,,7,1,100,0,100,2,1,,,,3,4,50000,7,2,5,60,60,5,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,46
34,1119,11191103,11,238.0989206236894,1,2,3,14,,,,,,,,,1,,,,,2,,3,,,,,,,,,3,9,,,,,,,,,,,,,,,2020,59.52473068237305,
35,1119,11191104,11,238.0989206236894,1,2,3,12,,,,,,,,,1,,,,,,,3,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
36,1119,11191105,11,238.0989206236894,1,2,3,9,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
37,1119,11191106,11,238.0989206236894,1,2,10,16,1,,20,1,100,0,100,2,1,,1,1,3,1,15000,4,1,6,70,70,6,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,97
38,1119,11191201,11,238.0989206236894,1,2,1,46,4,,7,1,100,0,100,2,1,,,,3,2,,10,3,2,28,28,2,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
39,1119,11191202,11,238.0989206236894,1,2,3,19,1,,2,1,100,0,100,2,1,,1,1,2,4,25000,4,1,2,30,30,2,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,7
40,1119,11191203,11,238.0989206236894,1,1,3,17,,,,1,0,,0,2,1,,1,1,,3,,4,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,59.52473068237305,
41,1119,11191204,11,238.0989206236894,1,2,3,14,,,,,,,,,1,,,,,2,,3,,,,,,,,,3,9,,,,,,,,,,,,,,,2020,59.52473068237305,
42,1119,11191205,11,238.0989206236894,1,1,3,11,,,,,,,,,1,,,,,,,3,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
43,1119,11191301,11,238.0989206236894,1,1,1,38,1,,8,1,100,0,100,2,1,,,,3,2,150000,8,3,7,84,84,7,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,49
44,1119,11191302,11,238.0989206236894,1,2,2,33,4,,7,1,100,0,100,2,1,,,,3,5,,7,2,6,66,66,6,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
45,1119,11191303,11,238.0989206236894,1,1,3,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
46,1119,11191305,11,238.0989206236894,1,2,10,15,1,,20,,,,,,1,,,,3,1,10000,4,,4,42,42,4,,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,97
47,1119,11191401,11,238.0989206236894,1,1,1,35,1,,9,1,100,0,100,2,1,,,,3,5,216666.671875,8,3,2,28,28,2,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,56
48,1119,11191402,11,238.0989206236894,1,2,2,22,,,,1,0,,0,2,1,2,1,1,,4,,5,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,59.52473068237305,
49,1119,11191405,11,238.0989206236894,1,1,3,0,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
50,1119,11191406,11,238.0989206236894,1,2,9,15,,,,,,,,,1,,,,,1,,4,,,,,,,,,3,9,,,,,,,,,,,,,,,2020,59.52473068237305,
51,1119,11191501,11,238.0989206236894,1,1,1,32,3,,7,1,100,0,100,2,1,,,,3,4,,7,2,6,70,70,6,2,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
52,1119,11191502,11,238.0989206236894,1,2,2,27,6,,7,1,100,0,100,2,1,,,1,3,4,,6,2,4,45,45,4,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
53,1119,11191503,11,238.0989206236894,1,2,3,2,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,59.52473068237305,
54,1119,11191504,11,238.0989206236894,1,2,11,14,,,,,,,,,1,,,,,2,,3,,,,,,,,,3,9,,,,,,,,,,,,,,,2020,59.52473068237305,
55,1119,11191601,11,238.0989206236894,1,1,1,28,4,,7,1,100,0,100,2,1,,,1,3,2,,6,2,1,5,6,1,1,,,1,9,,,,,,,,,,,,,,,2020,59.52473068237305,47
56,1120,11200101,11,219.73420356775344,1,1,1,35,4,,8,1,100,0,100,2,1,,,,3,1,,8,3,5,56,60,5,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,49
57,1120,11200102,11,219.73420356775344,1,2,2,21,,,,1,0,100,100,2,1,,1,1,,1,,5,1,,,,,1,,,2,9,,E,,,,,,,,,,,,,2020,54.93355178833008,
58,1120,11200103,11,219.73420356775344,1,2,3,2,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
59,1120,11200201,11,219.73420356775344,1,2,1,57,1,,14,1,100,0,100,2,1,,,,3,2,30000,12,4,6,63,63,6,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,81
60,1120,11200202,11,219.73420356775344,1,2,11,24,1,,9,1,100,0,100,2,1,,1,1,3,1,20000,5,1,6,78,78,6,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,56
61,1120,11200301,11,219.73420356775344,1,1,1,70,,,,1,0,,0,2,1,,,,,5,,15,5,,,,,2,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
62,1120,11200302,11,219.73420356775344,1,2,2,70,,,,1,0,,0,2,1,,,,,4,,15,5,,,,,2,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
63,1120,11200402,11,219.73420356775344,1,1,1,28,4,,11,1,100,0,100,2,1,,,1,3,2,,6,2,5,54,54,5,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,64
64,1120,11200404,11,219.73420356775344,1,2,9,28,4,,3,1,100,0,100,2,1,,,1,2,2,,6,2,4,42,42,4,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,14
65,1120,11200501,11,219.73420356775344,1,1,1,28,4,,7,1,100,0,100,2,1,,,1,3,5,,6,2,3,40,40,3,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,47
66,1120,11200502,11,219.73420356775344,1,1,11,28,4,,7,1,100,0,100,2,1,,,1,3,5,,6,2,3,40,40,3,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,47
67,1120,11200601,11,219.73420356775344,1,1,1,43,1,,8,1,100,0,100,2,1,,,,3,3,155000,9,3,4,48,48,4,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,49
68,1120,11200602,11,219.73420356775344,1,2,2,51,1,,17,1,100,0,100,2,1,,,,3,4,100000,11,3,5,60,60,5,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,86
69,1120,11200603,11,219.73420356775344,1,1,3,19,,,,1,0,,0,2,1,,1,1,,4,,4,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
70,1120,11200604,11,219.73420356775344,1,2,3,14,,,,,,,,,1,,,,,2,,3,,,,,,,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
71,1120,11200605,11,219.73420356775344,1,1,3,12,,,,,,,,,1,,,,,,,3,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
72,1120,11200702,11,219.73420356775344,1,2,1,33,,,,1,0,,0,2,1,2,,,,4,,7,2,,,,,2,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
73,1120,11200801,11,219.73420356775344,1,2,1,55,4,,9,1,100,0,100,2,1,,,,3,1,,12,4,6,70,70,6,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,56
74,1120,11200802,11,219.73420356775344,1,2,3,23,1,,9,1,100,0,100,2,1,,1,1,3,4,100000,5,1,5,58,56,5,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,56
75,1120,11200803,11,219.73420356775344,1,2,3,22,6,,9,1,100,0,100,2,1,,1,1,3,4,,5,1,1,6,6,1,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,56
76,1120,11200804,11,219.73420356775344,1,1,3,18,,,,1,0,,0,2,1,,1,1,,3,,4,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
77,1120,11200805,11,219.73420356775344,1,2,3,16,,,,1,0,,0,2,1,,1,1,,2,,4,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
78,1120,11200806,11,219.73420356775344,1,2,9,30,,,,1,0,,0,2,1,2,,1,,4,,7,2,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
79,1120,11200807,11,219.73420356775344,1,1,5,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
80,1120,11200901,11,219.73420356775344,1,1,1,26,4,,8,1,100,0,100,2,1,,,1,3,4,,6,2,6,72,60,5,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,49
81,1120,11200902,11,219.73420356775344,1,2,7,30,,,,1,0,100,100,2,1,,,1,,4,,7,2,,,,,1,,,2,9,,B,,,,,,,,,,,,,2020,54.93355178833008,
82,1120,11200903,11,219.73420356775344,1,1,7,24,1,,6,1,100,0,100,2,1,,1,1,2,3,17333.333984375,5,1,5,54,54,5,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,43
83,1120,11200904,11,219.73420356775344,1,1,7,17,,,,1,0,,0,2,1,2,1,1,,1,,4,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
84,1120,11201001,11,219.73420356775344,1,1,1,39,1,,15,1,100,0,100,2,1,,,,3,5,275000,8,3,4,45,36,3,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,84
85,1120,11201002,11,219.73420356775344,1,2,2,31,1,,15,1,100,0,100,2,1,,,,3,5,156000,7,2,4,45,36,3,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,84
86,1120,11201003,11,219.73420356775344,1,2,3,11,,,,,,,,,1,,,,,,,3,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
87,1120,11201004,11,219.73420356775344,1,2,3,6,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
88,1120,11201005,11,219.73420356775344,1,2,3,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
89,1120,11201008,11,219.73420356775344,1,2,7,19,,,,1,0,,0,2,1,,1,1,,4,,4,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
90,1120,11201009,11,219.73420356775344,1,2,10,20,1,,20,1,100,0,100,2,1,,1,1,3,2,15000,5,1,6,72,72,6,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,97
91,1120,11201101,11,219.73420356775344,1,1,1,35,4,,7,1,100,0,100,2,1,,,,3,2,,8,3,5,49,49,5,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,47
92,1120,11201102,11,219.73420356775344,1,2,2,34,4,,7,1,100,0,100,2,1,,,,3,2,,7,2,1,9,3,1,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,47
93,1120,11201103,11,219.73420356775344,1,1,3,11,,,,,,,,,1,,,,,,,3,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
94,1120,11201104,11,219.73420356775344,1,1,3,7,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
95,1120,11201105,11,219.73420356775344,1,2,3,4,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
96,1120,11201106,11,219.73420356775344,1,2,10,26,1,,20,1,100,0,100,2,1,,,1,3,1,15000,6,2,5,56,56,5,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,97
97,1120,11201201,11,219.73420356775344,1,1,1,58,1,,3,1,100,0,100,2,1,,,,2,4,200000,12,4,4,45,23,1,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,18
98,1120,11201202,11,219.73420356775344,1,2,2,56,1,,20,1,100,0,100,2,1,,,,3,3,100000,12,4,3,40,40,3,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,97
99,1120,11201203,11,219.73420356775344,1,2,3,30,1,,20,1,100,0,100,2,1,,,1,3,4,66667,7,2,2,27,27,2,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,97
100,1120,11201204,11,219.73420356775344,1,1,3,26,,,,1,0,100,100,2,1,,,1,,4,,6,2,,,,,1,,,2,9,,EFG,,,,,,,,,,,,,2020,54.93355178833008,
101,1120,11201205,11,219.73420356775344,1,1,3,21,,,,1,0,,0,2,1,2,1,1,,3,,5,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
102,1120,11201206,11,219.73420356775344,1,1,3,17,,,,1,0,100,100,2,1,,1,1,,2,,4,1,,,,,1,,,2,9,,EFG,,,,,,,,,,,,,2020,54.93355178833008,
103,1120,11201208,11,219.73420356775344,1,1,3,33,,,,1,0,100,100,2,1,,,,,4,,7,2,,,,,2,,,2,9,,EFG,,,,,,,,,,,,,2020,54.93355178833008,
104,1120,11201301,11,219.73420356775344,1,1,1,63,3,,3,1,100,0,100,2,1,,,,2,2,,13,4,6,66,66,6,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,14
105,1120,11201302,11,219.73420356775344,1,2,2,63,3,,3,1,100,0,100,2,1,,,,2,2,,13,4,6,66,66,6,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,14
106,1120,11201303,11,219.73420356775344,1,2,3,37,6,,3,1,100,0,100,2,1,,,,2,2,,8,3,1,18,18,1,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,14
107,1120,11201304,11,219.73420356775344,1,2,5,9,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
108,1120,11201305,11,219.73420356775344,1,2,5,4,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
109,1120,11201401,11,219.73420356775344,1,1,1,49,,,,1,0,,0,2,1,2,,,,2,,10,3,,,,,2,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
110,1120,11201402,11,219.73420356775344,1,2,2,45,3,,7,1,100,0,100,2,1,,,,3,1,,10,3,6,67,70,6,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,46
111,1120,11201403,11,219.73420356775344,1,1,3,22,,,,1,0,,0,2,1,2,1,1,,4,,5,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
112,1120,11201404,11,219.73420356775344,1,2,3,19,1,,11,1,100,0,100,2,1,,1,1,3,4,100000,4,1,6,66,66,6,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,66
113,1120,11201405,11,219.73420356775344,1,1,3,9,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
114,1120,11201406,11,219.73420356775344,1,1,10,20,1,,20,1,100,0,100,2,1,,1,1,3,2,12000,5,1,5,49,49,5,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,97
115,1120,11201501,11,219.73420356775344,1,2,1,35,,,,1,0,,0,2,1,2,,,,4,,8,3,,,,,2,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
116,1120,11201502,11,219.73420356775344,1,1,3,9,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
117,1120,11201503,11,219.73420356775344,1,2,3,7,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
118,1120,11201505,11,219.73420356775344,1,2,9,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
119,1120,11201506,11,219.73420356775344,1,1,3,0,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
120,1120,11201601,11,219.73420356775344,1,1,1,35,4,,7,1,100,0,100,2,1,,,,3,2,,8,3,6,72,72,6,2,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,47
121,1120,11201602,11,219.73420356775344,1,2,2,27,1,,9,1,100,0,100,2,1,,,1,3,2,30000,6,2,4,48,48,4,1,,,1,9,,,,,,,,,,,,,,,2020,54.93355178833008,55
122,1120,11201603,11,219.73420356775344,1,1,3,8,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
123,1120,11201605,11,219.73420356775344,1,1,3,0,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,54.93355178833008,
124,1120,11201606,11,219.73420356775344,1,2,7,16,,,,1,0,,0,2,1,2,1,1,,3,,4,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,54.93355178833008,
125,1121,11210101,11,39.34027410271063,1,1,1,36,,,,1,0,100,100,2,1,,,,,2,,8,3,,,,,2,,,2,9,,CF,,,,,,,,,,,,,2020,9.835068702697754,
126,1121,11210102,11,39.34027410271063,1,1,9,28,,,,1,0,100,100,2,1,,,1,,5,,6,2,,,,,1,,,2,9,,AG,,,,,,,,,,,,,2020,9.835068702697754,
127,1121,11210103,11,39.34027410271063,1,2,9,31,,,,1,0,100,100,2,1,,,,,5,,7,2,,,,,2,,,2,9,,F,,,,,,,,,,,,,2020,9.835068702697754,
128,1121,11210201,11,39.34027410271063,1,2,1,64,,,,1,0,,0,1,1,,,,,3,,13,4,,,,,2,,,3,9,,,,,,,,,,,,,,,2020,9.835068702697754,
129,1121,11210203,11,39.34027410271063,1,2,9,28,,,,1,0,100,100,2,1,,,1,,5,,6,2,,,,,1,,,2,9,,CEFG,,,,,,,,,,,,,2020,9.835068702697754,
130,1121,11210204,11,39.34027410271063,1,2,10,29,1,,20,1,100,0,100,2,1,,,1,3,1,30000,6,2,5,49,49,5,1,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,97
131,1121,11210205,11,39.34027410271063,1,2,11,8,,,,,,,,,1,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,2020,9.835068702697754,
132,1121,11210301,11,39.34027410271063,1,2,1,49,4,,7,1,100,0,100,2,1,,,,3,2,,10,3,6,66,22,1,2,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,47
133,1121,11210302,11,39.34027410271063,1,1,3,27,,,,1,0,100,100,2,1,,,1,,5,,6,2,,,,,1,,,2,9,,DEFG,,,,,,,,,,,,,2020,9.835068702697754,
134,1121,11210303,11,39.34027410271063,1,2,3,22,1,,15,1,100,0,100,2,1,,1,1,3,4,260000,5,1,4,45,45,4,1,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,84
135,1121,11210304,11,39.34027410271063,1,2,7,43,1,,15,1,100,0,100,2,1,,,,3,5,390000,9,3,4,45,45,4,2,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,84
136,1121,11210305,11,39.34027410271063,1,2,9,24,,,,1,0,,0,2,1,,1,1,,4,,5,1,,,,,1,,,3,9,,,,,,,,,,,,,,,2020,9.835068702697754,
137,1121,11210306,11,39.34027410271063,1,2,9,4,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,9.835068702697754,
138,1121,11210307,11,39.34027410271063,1,2,10,20,1,,20,1,100,0,100,2,1,,1,1,3,2,15000,5,1,5,56,56,5,1,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,97
139,1121,11210401,11,39.34027410271063,1,1,1,32,1,,15,1,100,0,100,2,1,,,,3,5,450000,7,2,4,45,45,4,2,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,84
140,1121,11210501,11,39.34027410271063,1,1,1,40,1,,15,1,100,0,100,2,1,,,,3,5,800000,9,3,4,45,45,4,2,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,84
141,1121,11210502,11,39.34027410271063,1,2,2,31,1,,7,1,100,0,100,2,1,,,,3,5,800000,7,2,4,48,48,4,2,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,47
142,1121,11210503,11,39.34027410271063,1,2,3,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,9.835068702697754,
143,1121,11210505,11,39.34027410271063,1,1,3,0,,,,,,,,,1,,,,,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,2020,9.835068702697754,
144,1121,11210506,11,39.34027410271063,1,2,10,31,1,,20,1,100,0,100,2,1,,,,3,3,30000,7,2,6,70,70,6,2,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,97
145,1121,11210507,11,39.34027410271063,1,2,10,31,1,,20,1,100,0,100,2,1,,,,3,2,20000,7,2,5,49,49,5,2,,,1,9,,,,,,,,,,,,,,,2020,9.835068702697754,97
