column_name,data_type,description
a29,DOUBLE,In the last 7 days how many hours did [NAME] spend collecting firewood for the
a30,DOUBLE,In the last 7 days how many hours did [NAME] spend fetching water for the house
a31,DOUBLE,In the last 7 days how many hours did [NAME] spend searching for fodder or gra
a32,DOUBLE,In the last 7 days how many hours did [NAME] spend manufacturing household goods
a33,DOUBLE,In the last 7 days how many hours did [NAME] spend constructing your dwelling
a34,DOUBLE,In the last 7 days how many hours did [NAME] spend doing household chores inclu
a35,DOUBLE,In the last 7 days how many hours did [NAME] spend looking after children and
b01,DOUBLE,IS [NAME] currently studying?
b02a,DOUBLE,What is the Highest educational level is/ have [NAME] attending / attended?
b02b,DOUBLE,How many years have you completed in that level of education?
b03,DOUBLE,Highest certificate obtained
b04,DOUBLE,The place of the highest qualification attained
b05b,DOUBLE,ESCED code
b06,DOUBLE,Ability to read and write
b07,DOUBLE,Currently attending any trade or technical Skills school
b08,DOUBLE,Did you learn any Trade or Technical vocational course?
b09,DOUBLE,How long will/did this Training take?
b10,DOUBLE,Type of technical skills learned?
b11,DOUBLE,Where did acquire these skills
b12,DOUBLE,Who was the main sponsor for this course?
b13,DOUBLE,Did [NAME] complete the course?
b13a,DOUBLE,In which year did complete this course?
b14,DOUBLE,What happened after you completed the course?
b15,DOUBLE,At what level could you use of computer?
b16a,DOUBLE,At what level could speak English
b16b,DOUBLE,At what level could speak French
b16c,DOUBLE,At what level could speak Swahili
c01,DOUBLE,During the last 7 days did he/she do any work for wage salary commission tips
c02,DOUBLE,During the past 7 days did run or do any kind of business farming or ot
c03,DOUBLE,During the past 7 days did help unpaid in a business owned by a househol
c04,DOUBLE,Was this work in agriculture farming or fishing?
c05,DOUBLE,In general are the products obtained from this activity for sale or for family
c06,DOUBLE,During the last 7 days did have a paid job or a business from which he/s
c07,DOUBLE,What was the main reason was absent from work during the last 7 days?
c08,DOUBLE,What is the expected total absence from work for?
c09,DOUBLE,Does continue receiving an income from his/her job during absence?
c10,DOUBLE,Did [NAME] have any other paid job or business or performed any secondary activi
c11a,DOUBLE,How many hours does [NAME] usually work per week?Main job/activity
c11b,DOUBLE,How many hours does [NAME] usually work per week?Secondary job/activity
c12a,DOUBLE,During the past 7 days how many days did actually work?Main job/activity
c12b,DOUBLE,During the past 7 days how many days did actually work?Secondary job/act
c13a,DOUBLE,During the past 7 days how many hours per day did actually worked?Main j
c13b,DOUBLE,During the past 7 days how many hours per day did actually worked?second
c14,DOUBLE,How many hours did [NAME) usually worked at all jobs combined during the last 7
c15,DOUBLE,What was the main reason usually worked long hours per week?
c16,DOUBLE,During the last 4 weeks did look for additional or other work?
c17,DOUBLE,Would want to work more hours per week than usualy worked provided the extra hou
c18,DOUBLE,If an opportunity for additional work became available could start working
c19,DOUBLE,During the last 4 weeks did [NAME] look for any kind of paid job or try to start
c20,DOUBLE,Has [NAME] already found a job or arranged to start a business in the next 4 wee
c21a,DOUBLE,what did [NAME] do in the last 4 weeks to find a paid job or start a business?
c21b,DOUBLE,What did [NAME] do in the last 4 weeks to find a paid job or start a business?
c21c,DOUBLE,What did [NAME] do in the last 4 weeks to find a paid job or start a business?
c21d,DOUBLE,What did [NAME] do in the last 4 weeks to find a paid job or start a business?
c22,DOUBLE,For how long has [NAME] been without work and trying to find a paid job or start
c23,DOUBLE,Would [NAME] want to work if a paid job or business opportunity became availabl
c24,DOUBLE,What was the main reason did not try to find a paid job or start a busine
c25,DOUBLE,If a paid job or business opportunity become available could [NAME] have started
c26,DOUBLE,What is the mean reason why could not start working in the last 7 days o
indd01,DOUBLE,ISCO High level
isco2d,DOUBLE,Isco_2digits_mainjob
d02,DOUBLE,What do you think could be the minimum level of education to carry out the job
indd03,DOUBLE,ISIC High level
isic2d,DOUBLE,Isic_2digits_mainjob
d04,DOUBLE,Does work in....
d05,DOUBLE,In this job is [NAME] working as...
d06,DOUBLE,Have [NAME] been employed on the basis of:
d07,DOUBLE,Is [NAME]'s contract or agreement :
d08,DOUBLE,The duration of the contract or agreement?
d09a,DOUBLE,Does employer pay contributions on [NAME]?s behalf to social security fund
d09b,DOUBLE,Does employer pay contributions on [NAME]?s behalf to health insurance fund
d10a,DOUBLE,Benefits paid for annual leave
d10b,DOUBLE,Benefits paid for sick leave
d10c,DOUBLE,Benefits paid for maternity/paternity leave
d10d,DOUBLE,Is's salary subjected to deduction of taxe
d11,DOUBLE,Does [NAME] belong to any trade union or syndicate
d12,DOUBLE,How much did he/she earn at main job last time in cash and in kind before tax
d12a,DOUBLE,Amount in Rwandan francs
d13,DOUBLE,How long did it cover?
d14,DOUBLE,Does [NAME] receive in-kind payments in main job such as food agricultural prod
d15,DOUBLE,What is the value of these in-kind payments?
d15a,DOUBLE,Amount in Rwandan francs
d16,DOUBLE,What period did it cover?
d17,DOUBLE,Taking into account both cash and in kind payments Would you say the monthly amo
d18a,DOUBLE,What is the net monthly earnings of from his/her business Activity?
d18a1,DOUBLE,What is the net monthly earnings of from his/her business Activity?
d18b,DOUBLE,What is the net monthly earnings of from his/her business or activity?
d19,DOUBLE,Was this below average above average or average of monthly earnings during las
d20,DOUBLE,Is the business/establishment where [NAME] works registered with the RRA or pay
d21,DOUBLE,In order to report to an authority does the business/establishment where
d22a,DOUBLE,How many regular paid or unpaid employees including [NAME] work at [NAME]'s pl
d22b,DOUBLE,How many regular paid or unpaid employees including [NAME] work at [NAME]'s pl
d23,DOUBLE,In what type of place does [NAME] usually work?
d24,DOUBLE,How long have [NAME] been working?
d25,DOUBLE,In day to day work does [NAME] need the computer to perform his/her duties?
d26,DOUBLE,Does use computer in his/her day to day work?
inde01,DOUBLE,ISCO High level_secondary
isco2e,DOUBLE,Isco_2digits_secondjob
inde02,DOUBLE,ISIC High level_secondary
isic2e,DOUBLE,Isic_2digits_secondjob
e03,DOUBLE,In his/her secondary job/activity does work in...
e04,DOUBLE,In his/her secondary job/business does work as...
e05a,DOUBLE,Does the employer pay contributions on's behalf to social security fund?
e05b,DOUBLE,Does the employer pay contributions on'sbehalf to health insurance?
e06a,DOUBLE,Is paid annual leave
e06b,DOUBLE,Is paid sick leave.
e06c,DOUBLE,IsPaid maternity/paternity leave?
e07,DOUBLE,Is the business/establishment where works for registered with the RRA or
e08,DOUBLE,Does [NAME]'s employer keep any written records or accounts?
e09a,DOUBLE,Including how many regular paid or unpaid employees
e09b,DOUBLE,Including how many regular paid or unpaid employees
e10,DOUBLE,In what type of place does usually work?
e11,DOUBLE,Apart from the main job:how many Job did had in the last 7 days?
e12,DOUBLE,How much did earn from other jobs or activities had last week in cash?
e12b,DOUBLE,Amount in Rwandan francs
e13,DOUBLE,How long did it cover?
indf03,DOUBLE,ISCO High level_past
isco2f,DOUBLE,Isco_2digits_pastjob
indf04,DOUBLE,ISIC High level_past
isic2f,DOUBLE,Isic_2digits_pastjob
f01,DOUBLE,Has [NAME] ever worked previously for a wage salary or for other income in cash
f02,DOUBLE,The main reason to stop working in his/her last paid job / business?
f05,DOUBLE,What is main source of income at present?
f06,DOUBLE,In your opinion which of the following best describes your main status at present
f07,DOUBLE,What Competencies do you need to increase your employment opportunities?
gid,DOUBLE,Serian Number for Section G
g01,DOUBLE,In the last 7 days how many hours did [NAME] spend collecting firewood for the
g02,DOUBLE,In the last 7 days how many hours did [NAME] spend fetching water for the house
g03,DOUBLE,In the last 7 days how many hours did [NAME] spend searching for fodder or gra
g04,DOUBLE,In the last 7 days how many hours did [NAME] spend manufacturing household good
g05,DOUBLE,In the last 7 days how many hours did [NAME] spend constructing your dwelling
g06,DOUBLE,In the last 7 days how many hours did [NAME] spend doing household chores inclu
g07,DOUBLE,In the last 7 days how many hours did [NAME] spend looking after children and elderly
h01,DOUBLE,During the last four weeks did he/she do any of the following work mainly for o
h02,DOUBLE,How many days per week did [NAME] usually worked in these activities?
h03,DOUBLE,How many hours per day has [NAME] usually worked in these activities?
h04,DOUBLE,HAS DONE ANY AGRICULTURAL ACTIVITY ?
h05,DOUBLE,In general did the household sell or barter any part of the goods obtained from
h06,DOUBLE,About how much does the household regularly sell?
h07,DOUBLE,What was the net Value in Frw the household get from agricultural activities dur
h08,DOUBLE,Compared to previous season Was the production below/above average or an avera
h09,DOUBLE,Do you regularly or sometimes engage paid employee in the farming activity?
h10,DOUBLE,Excluding family members how many paid employees do you usually engage in these
h11a,DOUBLE,Did you get access to the land for the agricultural work by leasing
h11b,DOUBLE,Did you get access to the land for the agricultural work by Renting
h11c,DOUBLE,Did you get access to the land for the agricultural work by renting
h11d,DOUBLE,Did you get access to the land for the agricultural work by renting
h11e,DOUBLE,Did you get access to the land for the agricultural work by communal rights/publ
i01_a,DOUBLE,Main material used in building this house for roof
i01_b,DOUBLE,Main material used in building this house for exterior walls
i01_c,DOUBLE,Main material used in building this house for floor
i02,DOUBLE,How many rooms in your household are used for sleeping?
i03,DOUBLE,What type of toilet does your household have?
i04,DOUBLE,What is the main source of energy in your household for lighting?
i05,DOUBLE,What is the main source of energy in your household for cooking?
i06a,DOUBLE,What is the main source of water in your household for drinking?
i06b,DOUBLE,What is the main source of water in your household for other uses?
i07a,DOUBLE,Does this household own Refrigerator/Freezer?
i07b,DOUBLE,Does this household own radio?
i07c,DOUBLE,Does this household own TV set?
i07d,DOUBLE,Does this household own parabolic antena?
i07e,DOUBLE,Does this household own Video/DVD player?
i07f,DOUBLE,Does this household own Computer and accessories?
i07g,DOUBLE,Does this household own Music system?
i07h,DOUBLE,Does this household own Cooker?
i07i,DOUBLE,Does this household own Sewing machine?
i07j,DOUBLE,Does this household own Laundry machine?
i07k,DOUBLE,Does this household own Electric fan?
i07l,DOUBLE,Does this household own Camera?
i07m,DOUBLE,Does this household own Mobile phone?
i07n,DOUBLE,Does this household own Car ?
i07o,DOUBLE,Does this household own Bicycle ?
i07p,DOUBLE,Does this household own Motorcycle ?
i07q,DOUBLE,Does this household own internet connection ?
indb05,DOUBLE,Field of education
status1,DOUBLE,Labour force status with 16+
wap16,DOUBLE,Working age population
employed16,DOUBLE,Employment to population ratio
ur1,DOUBLE,Unemployment rate
lfpr,DOUBLE,Labour force particiaption rate
sub,DOUBLE,Subsistance_foodstaff_producers
tru,DOUBLE,Time related underemployment
plf,DOUBLE,Potential labour force
luu,DOUBLE,Labour underutilisation
luur,DOUBLE,Labour underulilation rate
ie,DOUBLE,Formal and Informal employment for main job
cash,DOUBLE,Monthly income in cash for employees
usualhrs,DOUBLE,Usually working hours
usual_h,DOUBLE,Number of usual hours
act_hrs,DOUBLE,Number of actual hours worked
acthrs,DOUBLE,Actual hours intervals
prod_sec,DOUBLE,Formal_Informal_HH
