normalized_role,role_group,skill_name_normalized,skill_category,year_month,posting_count,employer_count,role_total,skill_share_within_role
Software Developer / Software Engineer,Software Development,Next.js,Frameworks,2026-06,1,1,4,25.0
Software Developer / Software Engineer,Software Development,Next.js,Frameworks,2026-08,1,1,3,33.33
Software Developer / Software Engineer,Software Development,Node.js,Frameworks,2026-08,1,1,3,33.33
Software Developer / Software Engineer,Software Development,Oracle DB,Databases,2026-08,2,2,3,66.67
Software Developer / Software Engineer,Software Development,PMP,Certifications,2026-06,1,1,4,25.0
Software Developer / Software Engineer,Software Development,PRINCE2,Certifications,2026-06,1,1,4,25.0
Software Developer / Software Engineer,Software Development,PostgreSQL,Databases,2026-08,3,2,3,100.0
Software Developer / Software Engineer,Software Development,Postman,Tools,2026-08,1,1,3,33.33
Software Developer / Software Engineer,Software Development,Problem Solving,Soft Skills,2026-06,1,1,4,25.0
Software Developer / Software Engineer,Software Development,Problem Solving,Soft Skills,2026-07,1,1,1,100.0
Software Developer / Software Engineer,Software Development,Problem Solving,Soft Skills,2026-08,2,2,3,66.67
Software Developer / Software Engineer,Software Development,Project Management,Business / Functional Skills,2026-06,3,3,4,75.0
Software Developer / Software Engineer,Software Development,Python,Programming Languages,2026-08,1,1,3,33.33
Software Developer / Software Engineer,Software Development,REST APIs,Software Engineering,2026-08,2,1,3,66.67
Software Developer / Software Engineer,Software Development,React,Frameworks,2026-08,2,2,3,66.67
Software Developer / Software Engineer,Software Development,Redis,Databases,2026-08,1,1,3,33.33
Software Developer / Software Engineer,Software Development,SQL,Programming Languages,2026-08,2,2,3,66.67
Software Developer / Software Engineer,Software Development,SQL Server,Databases,2026-08,2,2,3,66.67
Software Developer / Software Engineer,Software Development,Scrum,Software Engineering,2026-08,1,1,3,33.33
Software Developer / Software Engineer,Software Development,TDD,Software Engineering,2026-08,1,1,3,33.33
Software Developer / Software Engineer,Software Development,TailwindCSS,Frameworks,2026-08,1,1,3,33.33
Software Developer / Software Engineer,Software Development,Teamwork,Soft Skills,2026-08,1,1,3,33.33
Software Developer / Software Engineer,Software Development,TypeScript,Programming Languages,2026-08,1,1,3,33.33
