column_name,data_type,description
f01,DOUBLE,"Have you ever worked previously for a wage, salary or for other income in cash?"
f02,DOUBLE,The main reason to stop working in his/her last paid job/business?
f03b,DOUBLE,What were your main tasks and duties?
f03b1,DOUBLE,Main tasks and duties (ISCO CODE)
f04b,TEXT,What were the main goods or services produced at your workplace
f04b1,DOUBLE,Main goods and services (ISIC CODE)
f05,DOUBLE,What is your main source of income at present?
f06,DOUBLE,"In your opinion, which of the following best describes your main status at present"
f07,DOUBLE,What competencies do you need to increase your employment opportunities?
g01,DOUBLE,"In the last 7 days, how many hours did you spend collecting firewood for the household?"
g02,DOUBLE,"In the last 7 days, how many hours did you spend fetching water for the household?"
g03,DOUBLE,"In the last 7 days, how many hours did you spend searching for fodder or grazing"
g04,DOUBLE,"In the last 7 days, how many hours did you spend constructing your dwelling"
g05,DOUBLE,"In the last 7 days, how many hours did you spend manufacturing household goods"
g06,DOUBLE,"In the last 7 days, how many hours did you spend doing household chores"
g07,DOUBLE,"In the last 7 days, how many hours did you spend looking after children and elderly"
h01,DOUBLE,During the last four weeks did you do any of the following work mainly for
h02,DOUBLE,How many days per week did you usually work in these activities?
h03,DOUBLE,How many hours per day have you usually worked in these activities?
h04,DOUBLE,Has done any agricultural activity?
h05,DOUBLE,"In general, did the household sell or barter any part of the goods obtained from"
h06,DOUBLE,About how much does the household regularly sell?
h07,DOUBLE,What was the net Value in Frw the household get from agricultural activities
h08,DOUBLE,Was the previous season below/above average or an average season for your household
h09,DOUBLE,Do you regularly or sometimes engage paid employee in the farming activity?
h10,DOUBLE,"Excluding family members, how many paid employees do you usually engage in these"
h11a,DOUBLE,Did you get access to the land for the agricultural work by leasing
h11b,DOUBLE,Did you get access to the land for the agricultural work by renting (share-cropping)
h11c,DOUBLE,Did you get access to the land for the agricultural work by renting (fixed rent)
h11d,DOUBLE,Did you get access to the land for the agricultural work by renting (free of charge)
h11e,DOUBLE,Did you get access to the land for the agricultural work by communal rights/public
i01_a,DOUBLE,Main material used in building this house for roof
i01_b,DOUBLE,Main material used in building this house for exterior walls
i01_c,DOUBLE,Main material used in building this house for floor
i02,DOUBLE,How many rooms in your household are used for sleeping?
i03,DOUBLE,What type of toilet does your household have?
i04,DOUBLE,What is the main source of energy in your household for lighting?
i05,DOUBLE,What is the main source of energy in your household for cooking?
i06a,DOUBLE,What is the main source of water in your household for drinking?
i06b,DOUBLE,What is the main source of water in your household for other uses?
i07a,DOUBLE,Does this household own Refrigerator/Freezer?
i07b,DOUBLE,Does this household own radio?
i07c,DOUBLE,Does this household own TV set?
i07d,DOUBLE,Does this household own parabolic antenna?
i07e,DOUBLE,Does this household own Video/DVD player?
i07f,DOUBLE,Does this household own Computer and accessories?
i07g,DOUBLE,Does this household own Music system?
i07h,DOUBLE,Does this household own Cooker?
i07i,DOUBLE,Does this household own Sewing machine?
i07j,DOUBLE,Does this household own Laundry machine?
i07k,DOUBLE,Does this household own Electric fan?
i07l,DOUBLE,Does this household own Camera?
i07m,DOUBLE,Does this household own Mobile phone?
i07n,DOUBLE,Does this household own Car?
i07o,DOUBLE,Does this household own Bicycle?
i07p,DOUBLE,Does this household own Motorcycle?
i07q,DOUBLE,Does this household own internet connection?
i08,BIGINT,How many of this household members used internet in the last 12 months?
i09,BIGINT,How many of this household members having mobile phone?
i10,DOUBLE,How many of this household members having personal computer?
i11,DOUBLE,How many of this household members using social media
i12,DOUBLE,How many of this household members aged 10 and above who used a computer in the
i13,DOUBLE,How many of this household members aged 10 and above who know to use at least one
indd01,DOUBLE,ISCO High level
indd03,DOUBLE,ISIC High level
lu2,DOUBLE,Combined rate of TRU and unempoyment
lu3,DOUBLE,Combined rate of unemployment and potential labour force
trur,DOUBLE,Time related underemployment
status1,DOUBLE,Labour force status with 14+
indb05,DOUBLE,Field of education
wap16,DOUBLE,Working age population
employed16,DOUBLE,Employment to population ratio
ur1,DOUBLE,Unemployment rate
lfpr,DOUBLE,Labour force particiaption rate
tru,DOUBLE,Time related underemployment
plf,DOUBLE,Potential labour force
luu,DOUBLE,Labour underutilisation
luur,DOUBLE,Labour underutilisation rate
disable,DOUBLE,person with disability
discourage,DOUBLE,Discouraged jobseekers
migrant,DOUBLE,Recent migration
neetyoung,DOUBLE,NEET 16-30
prod_unit,DOUBLE,Production sector unit
iev2,DOUBLE,Formal and Informal employment for main job
indb1,DOUBLE,Years of schooling
attained,DOUBLE,Level of education completed
age5,DOUBLE,Five years age group
age10,DOUBLE,Broader age group
usualhrs,DOUBLE,Usual working hours
usual_h,DOUBLE,Number of usual hours
act_hrs,DOUBLE,Number of actual hours worked
acthrs,DOUBLE,Actual hours intervals
tvt2,DOUBLE,General or TVET attainment
ud,DOUBLE,Unemployment duration
work_agr,DOUBLE,Work in agriculture (type)
lfs_workforce,DOUBLE,Work in agriculture (yes/no)
