column_name,data_type,description
b07,DOUBLE,Currently attending any trade or technical Skills school
b08,DOUBLE,Did you learn any Trade or Technical vocational course?
b09,DOUBLE,How long will/did this Training take?
b10,DOUBLE,Type of technical skills learned?
b13,DOUBLE,Did [NAME] complete the course?
b13a,DOUBLE,In which year did complete this course?
b14,DOUBLE,What happened after you completed the course?
b18,DOUBLE,Has [Name] in last three months used any social media
b19,DOUBLE,Has [Name] in the last three months used intenet?
c01,DOUBLE,During the last 7 days did he/she do any work for wage salary commission tips
c02,DOUBLE,During the past 7 days did run or do any kind of business farming or ot
c03,DOUBLE,During the past 7 days did help unpaid in a business owned by a househol
c04,DOUBLE,Was this work in agriculture farming or fishing?
c05,DOUBLE,In general are the products obtained from this activity for sale or for family
c06,DOUBLE,During the last 7 days did have a paid job or a business from which he/s
c07,DOUBLE,What was the main reason was absent from work during the last 7 days?
c08,DOUBLE,What is the expected total absence from work for?
c09,DOUBLE,Does continue receiving an income from his/her job during absence?
c09a,DOUBLE,Among the following categories which correspond to the situation
c10,DOUBLE,Did [NAME] have any other paid job or business or performed any secondary activi
c11a,DOUBLE,How many hours does [NAME] usually work per week?Main job/activity
c11b,DOUBLE,How many hours does [NAME] usually work per week?Secondary job/activity
c12a,DOUBLE,During the past 7 days how many days did actually work?Main job/activity
c12b,DOUBLE,During the past 7 days how many days did actually work?Secondary job/act
c13a,DOUBLE,During the past 7 days how many hours per day did actually worked?Main j
c13b,DOUBLE,During the past 7 days how many hours per day did actually worked?second
c14,DOUBLE,How many hours did [NAME) usually worked at all jobs combined during the last 7
c15,DOUBLE,What was the main reason usually worked long hours per week?
c16,DOUBLE,During the last 4 weeks did look for additional or other work?
c17,DOUBLE,Would want to work more hours per week than usualy worked provided the extra hou
c18,DOUBLE,If an opportunity for additional work became available could start working
c19,DOUBLE,During the last 4 weeks did [NAME] look for any kind of paid job or try to start a business
c20,DOUBLE,Has [NAME] already found a job or arranged to start a business in the next 4 wee
c22,DOUBLE,For how long has [NAME] been without work and trying to find a paid job or start
c23,DOUBLE,Would [NAME] want to work if a paid job or business opportunity became availabl
c24,DOUBLE,What was the main reason did not try to find a paid job or start a busine
c25,DOUBLE,If a paid job or business opportunity become available could [NAME] have started
c26,DOUBLE,What is the mean reason why could not start working in the last 7 days o
c21,TEXT,what did [NAME] do in the last 4 weeks to find a paid job or start a business?
c21_a,DOUBLE,Arranging for financial ressources applying for permits licences
c21_b,DOUBLE,Looking for land premises machinery supplies farming inputs
c21_c,DOUBLE,Seeking the assistance of friends relatives or other types of intermediaries
c21_d,DOUBLE,Registering with or contacting public or private employment services
c21_e,DOUBLE,Applying to employers directly checking at worksites farms factory gates markets
c21_f,DOUBLE,Placing or answering newspaper or online job advertisements
c21_g,DOUBLE,Placing and updating resumes on professional or social networking sites online
c21_h,DOUBLE,No method
c21_l,DOUBLE,Other - specify
d03a,DOUBLE,What is the name of your workplace?
d04,DOUBLE,Do you work in....
d05,DOUBLE,In this job is [NAME] working as...
d06,DOUBLE,Have [NAME] been employed on the basis of:
d07,DOUBLE,Is [NAME]'s contract or agreement :
d08,DOUBLE,The duration of the contract or agreement?
d09a,DOUBLE,Does employer pay contributions on [NAME]?s behalf to social security fund
d09b,DOUBLE,Does employer pay contributions on [NAME]?s behalf to health insurance fund
d10a,DOUBLE,Benefits paid for annual leave
d10b,DOUBLE,Benefits paid for sick leave
d10c,DOUBLE,Benefits paid for maternity/paternity leave
d10d,DOUBLE,Is's salary subjected to deduction of taxe
d11,DOUBLE,Does [NAME] belong to any trade union or syndicate
d12,DOUBLE,How much did he/she earn at main job last time in cash and in kind before tax
d12a,DOUBLE,Amount in Rwandan francs
d13,DOUBLE,How long did it cover?
d14,DOUBLE,Does [NAME] receive in-kind payments in main job such as food agricultural products
d15,DOUBLE,What is the value of these in-kind payments?
d15a,DOUBLE,Amount in Rwandan francs
d16,DOUBLE,What period did it cover?
d17,DOUBLE,Taking into account both cash and in kind payments Would you say the monthly amount
d20,DOUBLE,Is the business/establishment where [NAME] works registered with the RRA or pay
d21,DOUBLE,In order to report to an authority does the business/establishment where
d23,DOUBLE,In what type of place does [NAME] usually work?
d27,DOUBLE,Is a secondary paid job or business/activity reported
d24a,DOUBLE,How long have [NAME] been working-Years?
e11,DOUBLE,Apart from the main job:how many Job did had in the last 7 days?
e12,DOUBLE,How much did earn from other jobs or activities had last week in cash?
e12b,DOUBLE,Amount in Rwandan francs
e13,DOUBLE,How long did it cover?
f01,DOUBLE,Has [NAME]ever worked previously for a wage salary or for other income in cash
f02,DOUBLE,The main reason to stop working in his/her last paid job / business?
f05,DOUBLE,What is main source of income at present?
g01,DOUBLE,In the last 7 days how many hours did [NAME] spend collecting firewood for the
g02,DOUBLE,In the last 7 days how many hours did [NAME] spend fetching water for the house
g03,DOUBLE,In the last 7 days how many hours did [NAME] spend searching for fodder or gra
g04,DOUBLE,In the last 7 days how many hours did [NAME] spend manufacturing household good
g05,DOUBLE,In the last 7 days how many hours did [NAME] spend constructing your dwelling
g06,DOUBLE,In the last 7 days how many hours did [NAME] spend doing household chores inclu
g07,DOUBLE,In the last 7 days how many hours did [NAME] spend looking after children and e
g01a,DOUBLE,In the last 7 days did [NAME] spend time collecting firewood for the household
g02a,DOUBLE,In the last 7 days did [Name] spend time on fetching water for the household?
g03a,DOUBLE,In the last 7 days did [Name] spend time on grazing or feeding hiusehold animal
g04a,DOUBLE,In the last 7 days did [Name] spend time on manufacturing of goods for family u
g05a,DOUBLE,In the last 7 days did [Name] spend time on construction of own building?
g06a,DOUBLE,In the last 7 days did [Name] spend time on doing household chores?
g07a,DOUBLE,In the last 7 days did [Name] take time to look after children or adults
h01,DOUBLE,During the last four weeks did he/she do any of the following work mainly for o
h02,DOUBLE,How many days per week did [NAME] usually worked in these activities?
h03,DOUBLE,How many hours per day has [NAME] usually worked in these activities?
h05,DOUBLE,In general did the household sell or barter any part of the goods obtained from
h06,DOUBLE,About how much does the household regularly sell?
h09,DOUBLE,Do you regularly or sometimes engage paid employee in the farming activity?
h00,DOUBLE,How would you describe your main situation on labour market at present?
h04,DOUBLE,
h10,DOUBLE,Excluding family members how many paid employees do you usually engage in thes
i01_a,DOUBLE,Main material used in building this house for roof
i01_b,DOUBLE,Main material used in building this house for exterior walls
i01_c,DOUBLE,Main material used in building this house for floor
i02,DOUBLE,How many rooms in your household are used for sleeping?
i03,DOUBLE,What type of toilet does your household have?
i04,DOUBLE,What is the main source of energy in your household for lighting?
i05,DOUBLE,What is the main source of energy in your household for cooking?
i06a,DOUBLE,What is the main source of water in your household for drinking?
i06b,DOUBLE,What is the main source of water in your household for other uses?
i07a,DOUBLE,Does this household own Refrigerator/Freezer?
i07b,DOUBLE,Does this household own radio?
i07c,DOUBLE,Does this household own TV set?
i07d,DOUBLE,Does this household own parabolic antena?
i07e,DOUBLE,Does this household own Video/DVD player?
i07f,DOUBLE,Does this household own Computer and accessories?
i07g,DOUBLE,Does this household own Music system?
i07h,DOUBLE,Does this household own Cooker?
i07i,DOUBLE,Does this household own Sewing machine?
i07j,DOUBLE,Does this household own Laundry machine?
i07k,DOUBLE,Does this household own Electric fan?
i07l,DOUBLE,Does this household own Camera?
i07m,DOUBLE,Does this household own Mobile phone?
i07n,DOUBLE,Does this household own Car ?
i07o,DOUBLE,Does this household own Bicycle ?
i07p,DOUBLE,Does this household own Motorcycle ?
i07q,DOUBLE,Does this household own internet connection ?
status1,DOUBLE,Labour force status with 16+
wap16,DOUBLE,Working age population
employed16,DOUBLE,Employment to population ratio
ur1,DOUBLE,Unemployment rate
lfpr,DOUBLE,Labour force particiaption rate
sub,DOUBLE,Dimunished Subsistance foodstaff producers
tru,DOUBLE,Time related underemployment
plf,DOUBLE,Potential labour force
youth,DOUBLE,Youth 16 to 24 years old
young,DOUBLE,Young 16 to 30 years old
luu,DOUBLE,Labour underutilisation
luur,DOUBLE,Labour underutilization rate
disable,BIGINT,person with disability
discourage,DOUBLE,Discouraged jobseekers
willing,DOUBLE,Willing non seeker and not available
migrant,DOUBLE,Recent migration
neetyouth,DOUBLE,NEET 16-24
neetyoung,DOUBLE,NEET 16-30
youngs,DOUBLE,Young status
main_sect,DOUBLE,Economic sector
indb1,DOUBLE,Years of schooling
attained,DOUBLE,Level of education completed
cash,DOUBLE,Monthly income in cash for employees
intcash,DOUBLE,Income interval
age5,BIGINT,Five years age group
age10,DOUBLE,Broader age group
usualhrs,DOUBLE,Usual working hours
timegood,DOUBLE,Time spent in production of goods
timeservice,DOUBLE,Time spent in production of services
hhsize,BIGINT,Household size
usual_h,DOUBLE,Number of usual hours
act_hrs,DOUBLE,Number of actual hours worked
acthrs,DOUBLE,Actual hours intervals
ya,DOUBLE,Young/adult
hr_own,DOUBLE,Total hours in own use
combhrs,DOUBLE,Combined hours for Own use and employment
subhrs,DOUBLE,Time spent in subsistance activities
hr_cshmain,DOUBLE,Hourly wage of employees in main job
hr_cash,DOUBLE,Hourly wage of employees
tvt2,DOUBLE,General or TVET attainment
tvet3,DOUBLE,TVET Completion
agdis,DOUBLE,RECODE of A04
prod_unit,DOUBLE,Production sector unit
sm,DOUBLE,Search methods
ud,DOUBLE,Unemployment duration
iev2,DOUBLE,Formal and Informal employment for main job
head,DOUBLE,Head of the household
dg01,DOUBLE,fetch firewood
dg02,DOUBLE,fetch water
dg03,DOUBLE,searching fodder or grazing
dg04,DOUBLE,manufacturing household goods
dg05,DOUBLE,repairing household
dg06,DOUBLE,Cooking and shopping
dg07,DOUBLE,Looking after children and elderly
age3,DOUBLE,selected age group
tvt,DOUBLE,Attended TVT or not
lu2,DOUBLE,LU2 - Combined rate of unemployment and time-related underemployment
lu3,DOUBLE,LU3 - Combined rate of unemployment and potential labour force
lu4,DOUBLE,LU4 - Composite measure of labour underutilization
trur,DOUBLE,Time related underemployment rate
indb05,DOUBLE,Field of education
isco2digit,DOUBLE,occupation activity at two digit
isic2digitdigit,DOUBLE,economic activity at two digit
indd01,DOUBLE,ISCO High level
indd03,DOUBLE,ISIC High level
inde02,DOUBLE,ISIC High level_secondary
age3_16_30,DOUBLE,Youth age groups
yur1,DOUBLE,Youth unemployment rate
