original_job_title,company,normalized_role,role_family,role_group,is_ict,ict_role_confidence,role_normalization_confidence,role_group_confidence,classification_reason,normalization_reason,needs_manual_review,manual_review_reason,min_confidence
Chief Accountant,East African University Rwanda,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Medical Doctor,GAMICO Ltd,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Wood Dryer Machine Operator,ADARWA COOPERATIVE,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Senior Risk and Compliance Officer,INDONGOZI SACCO NYAMASHEKE,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Human Resources (HR) and Procurement Assistant,Green Starz Impakt Hub Ltd.,,,,False,0.0,,,Multiple non-ICT signals detected (2 matches),,False,,0.0
Lecturer of Hospitality Practical and Theorical Courses,East African University Rwanda,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Rwanda Contracts Procurement Coordinator,One Acre Fund,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Asset Protection Guard,Trinity Nyakabingo Mines Ltd,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Regional Manager,BRAC,,,,False,0.0,,,Weak ICT function evidence (1 keyword clusters); Multiple non-ICT signals detected (3 matches),,False,,0.0
Electrical Engineer,Aviation Travel & Logistics Holding Ltd,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
"Project Assistant, Girls in Conservation(GIC)",The Dian Fossey Gorilla Fund International,,,,False,0.0,,,Multiple non-ICT signals detected (2 matches),,False,,0.0
Intern – Drones & Data Component,GIZ Rwanda,,,,False,0.0,,,"Industry includes 'Computer and IT': Computer and IT, Other; Some non-ICT signals detected (1 matches)",,False,,0.0
Emergency Physician,Partners In Health/Inshuti Mu Buzima (PIH),,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Public Health Administrative Specialist,American Embassy Kigali Mission Rwanda,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Branch Manager,BRAC,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Senior Social Entrepreneur & Project Development Lead,SUYANA,,,,False,0.0,,,Multiple non-ICT signals detected (3 matches),,False,,0.0
Rwanda Seed Sample Reception and Data Entry,One Acre Fund,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Accounts Payable Technician/Alternate Cashier,American Embassy Kigali Mission Rwanda,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Rwanda Seed Inspection and Sampling Senior Supervisor,One Acre Fund,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Rwanda Construction Quality Assurance and Quality Check Engineer (Fixed-term),One Acre Fund,,,,False,0.0,,,Weak ICT function evidence (1 keyword clusters); Some non-ICT signals detected (1 matches),,False,,0.0
TVET Education Expert (H/F),Expertise France,,,,False,0.0,,,Weak ICT function evidence (1 keyword clusters); Multiple non-ICT signals detected (2 matches),,False,,0.0
M&E (Impact) Officer,The Dian Fossey Gorilla Fund International,,,,False,0.0,,,Weak ICT function evidence (1 keyword clusters); Multiple non-ICT signals detected (3 matches),,False,,0.0
Recruitment Consultant,NEIL CORPORATION LTD,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Operations Manager,NEIL CORPORATION LTD,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Project Manager,NEIL CORPORATION LTD,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
"Analyst, Office of the CFO (Fixed-term)",One Acre Fund,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Strategic Content Coordination Specialist,American Embassy Kigali Mission Rwanda,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Field Operations Manager,BRAC,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Innovation & Partnerships Lead,Rwanda Internet community & Technology Alliance(RICTA),,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Project Manager,Raising The Village,,,,False,0.0,,,Weak ICT function evidence (1 keyword clusters); Multiple non-ICT signals detected (4 matches),,False,,0.0
Rwanda Contracts Coordinator,One Acre Fund,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Telemarketing & Client Follow-up Officer,Buy Sell or Rent Ltd,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Quantity Surveyor,Aviation Travel & Logistics Holding Ltd,,,,False,0.0,,,Multiple non-ICT signals detected (3 matches),,False,,0.0
Neonatal Nurse,Partners In Health/Inshuti Mu Buzima (PIH),,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Water Treatment Plant Supervisor,Trinity Nyakabingo Mines Ltd,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
National Sales Manager,NEIL CORPORATION LTD,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Health Club Receptionist,Rwanda Ultimate Golf Course,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Product Operations Lead (Fixed-Term),One Acre Fund,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Accounts Receivable Manager,NEIL CORPORATION LTD,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Fleet Management Assistant,"LOVEWAY RWANDA CO,. LTD",,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Finance Manager,NEIL CORPORATION LTD,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Accounts Payable Manager,NEIL CORPORATION LTD,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Territory Sales Manager,DATA- ORBIT LABS,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Recruitment Marketing Manager,NEIL CORPORATION LTD,,,,False,0.0,,,Some non-ICT signals detected (1 matches),,False,,0.0
Senior Cost Accountant,DATA- ORBIT LABS,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Gestionnaire de Performance et Reporting KPI,I C S TELECOM RWANDA LIMITED,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Community Engagement Officer,DATA- ORBIT LABS,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Territory Account Manager,NEIL CORPORATION LTD,,,,False,0.0,,,No significant ICT evidence found,,False,,0.0
Logistics Officer,Alight,,,,False,0.1,,,Weak ICT function evidence (1 keyword clusters),,False,,0.1
Impact Division Chief of Staff,One Acre Fund,,,,False,0.1,,,Weak ICT function evidence (1 keyword clusters),,False,,0.1
Cloud Architect (M/F),AFRICASHORE,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,True,0.5,0.85,0.9,Title strongly indicates ICT role: 'Cloud Architect (M/F)',Cloud architecture/specialist title maps to DevOps / Cloud Engineer,True,Low ICT classification confidence (0.5),0.5
Cloud System Integrator (M/F),AFRICASHORE,Systems Administrator,Systems & Infrastructure,Systems & Infrastructure,True,0.5,0.85,0.9,Title strongly indicates ICT role: 'Cloud System Integrator (M/F)',Cloud system admin maps to Systems Administrator,True,Low ICT classification confidence (0.5),0.5
ANGULAR Developer (M/F),AFRICASHORE,Frontend / Web Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'ANGULAR Developer (M/F)',Frontend framework/language developer title,True,Low ICT classification confidence (0.5),0.5
Software Developer,AMAZETHU,Software Developer / Software Engineer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'Software Developer',Title indicates software development,True,Low ICT classification confidence (0.5),0.5
Test Automation Engineer (M/F),AFRICASHORE,QA / Software Test Engineer,Software Quality,Software Quality,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'Test Automation Engineer (M/F)',Title indicates QA/testing role,True,Low ICT classification confidence (0.5),0.5
KOTLIN Developer (M/F),AFRICASHORE,Mobile App Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'KOTLIN Developer (M/F)',Mobile platform/language developer title,True,Low ICT classification confidence (0.5),0.5
UX / UI Designer (M/F),AFRICASHORE,Frontend / Web Developer,Software Development,Software Development,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'UX / UI Designer (M/F)',UX/UI Designer maps to Frontend / Web Developer,True,Low ICT classification confidence (0.5),0.5
AWS Cloud Architect (M/F),AFRICASHORE,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,True,0.5,0.85,0.9,Title strongly indicates ICT role: 'AWS Cloud Architect (M/F)',Cloud architecture/specialist title maps to DevOps / Cloud Engineer,True,Low ICT classification confidence (0.5),0.5
DOTNET Developer (M/F),AFRICASHORE,Backend Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'DOTNET Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5),0.5
IOS Developer (M/F),AFRICASHORE,Mobile App Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'IOS Developer (M/F)',Mobile platform/language developer title,True,Low ICT classification confidence (0.5),0.5
JAVA Developer (M/F),AFRICASHORE,Backend Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'JAVA Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5),0.5
JAVA JEE Developer (M/F),AFRICASHORE,Backend Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'JAVA JEE Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5),0.5
PHP Developer (M/F),AFRICASHORE,Backend Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'PHP Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5),0.5
RUBY ON RAILS Developer (M/F),AFRICASHORE,Backend Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'RUBY ON RAILS Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5),0.5
NODE.JS Developer (M/F),AFRICASHORE,Backend Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'NODE.JS Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5),0.5
Test and Validation Engineer (M/F),AFRICASHORE,QA / Software Test Engineer,Software Quality,Software Quality,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'Test and Validation Engineer (M/F)',Title indicates QA/testing role,True,Low ICT classification confidence (0.5),0.5
SWIFT Developer (M/F),AFRICASHORE,Mobile App Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'SWIFT Developer (M/F)',Mobile platform/language developer title,True,Low ICT classification confidence (0.5),0.5
QA Tester (M/F),AFRICASHORE,QA / Software Test Engineer,Software Quality,Software Quality,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'QA Tester (M/F)',Title indicates QA/testing role,True,Low ICT classification confidence (0.5),0.5
REACT Developer (M/F),AFRICASHORE,Frontend / Web Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'REACT Developer (M/F)',Frontend framework/language developer title,True,Low ICT classification confidence (0.5),0.5
DATASTAGE Architect (M/F),AFRICASHORE,Data Engineer,Data & Analytics,Data & Analytics,True,0.5,0.75,0.8,Title strongly indicates ICT role: 'DATASTAGE Architect (M/F)',Data platform architect maps to Data Engineer,True,Low ICT classification confidence (0.5),0.5
SAP FI-CO/PS Consultant (M/F),AFRICASHORE,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'SAP FI-CO/PS Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5),0.5
SAP EHS Consultant (M/F),AFRICASHORE,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'SAP EHS Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5),0.5
SAP ABAP Consultant (M/F),AFRICASHORE,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'SAP ABAP Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5),0.5
Middleware System Engineer Z/OS (M/F),AFRICASHORE,Systems Administrator,Systems & Infrastructure,Systems & Infrastructure,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'Middleware System Engineer Z/OS (M/F)',Mainframe/middleware system engineer maps to Systems Administrator,True,Low ICT classification confidence (0.5),0.5
DBA IMS/DB2 Z/OS(M/F),AFRICASHORE,Database Administrator,Data & Database,Data & Database,True,0.5,0.95,1.0,Title strongly indicates ICT role: 'DBA IMS/DB2 Z/OS(M/F)',Title indicates database administration,True,Low ICT classification confidence (0.5),0.5
Senior SAP Consultant (M/F),AFRICASHORE,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'Senior SAP Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5),0.5
SAP MM/SD/EWM/PP/QM/CAR Consultant (M/F),AFRICASHORE,Systems Analyst / IT Business Analyst,Systems Analysis,Systems Analysis,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'SAP MM/SD/EWM/PP/QM/CAR Consultant (M/F)',SAP consultant/developer maps to Systems Analyst,True,Low ICT classification confidence (0.5),0.5
Lead Java JEE Developer (M/F),AFRICASHORE,Backend Developer,Software Development,Software Development,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'Lead Java JEE Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5),0.5
GENESYS Architect (M/F),AFRICASHORE,Data Engineer,Data & Analytics,Data & Analytics,True,0.5,0.75,0.8,Title strongly indicates ICT role: 'GENESYS Architect (M/F)',Data platform architect maps to Data Engineer,True,Low ICT classification confidence (0.5),0.5
Z/OS System Engineer Senior Storage(M/F),AFRICASHORE,Systems Administrator,Systems & Infrastructure,Systems & Infrastructure,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'Z/OS System Engineer Senior Storage(M/F)',Mainframe/middleware system engineer maps to Systems Administrator,True,Low ICT classification confidence (0.5),0.5
Cloud Computing and Virtualization Engineer (M/F),AFRICASHORE,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'Cloud Computing and Virtualization Engineer (M/F)'; Weak ICT function evidence (1 keyword clusters),Cloud architecture/specialist title maps to DevOps / Cloud Engineer,False,,0.6
FullStack Developer,MALFOUR LIMITED,Full-Stack Developer,Software Development,Software Development,True,0.6,0.95,1.0,Title strongly indicates ICT role: 'FullStack Developer'; Weak ICT function evidence (1 keyword clusters),Title contains 'full stack',False,,0.6
PYTHON Developer (M/F),AFRICASHORE,Backend Developer,Software Development,Software Development,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'PYTHON Developer (M/F)'; Weak ICT function evidence (1 keyword clusters),Technology-specific developer title maps to Backend Developer,False,,0.6
Cloud Engineer (M/F),AFRICASHORE,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'Cloud Engineer (M/F)'; Weak ICT function evidence (1 keyword clusters),Title indicates cloud engineering,False,,0.6
PHP Larval Debug Code,KORSTRADA ENTERPRISES LIMITED,Software Developer / Software Engineer,Software Development,Software Development,True,0.6,0.8,0.85,Title strongly indicates ICT role: 'PHP Larval Debug Code'; Weak ICT function evidence (1 keyword clusters),Programming language + action word in title indicates software development,False,,0.6
OBJECTIVE-C Developer (M/F),AFRICASHORE,Mobile App Developer,Software Development,Software Development,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'OBJECTIVE-C Developer (M/F)'; Weak ICT function evidence (1 keyword clusters),Mobile platform/language developer title,False,,0.6
LARAVEL Developer (M/F),AFRICASHORE,Backend Developer,Software Development,Software Development,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'LARAVEL Developer (M/F)'; Weak ICT function evidence (1 keyword clusters),Technology-specific developer title maps to Backend Developer,False,,0.6
JAVASCRIPT Developer (M/F),AFRICASHORE,Frontend / Web Developer,Software Development,Software Development,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'JAVASCRIPT Developer (M/F)'; Weak ICT function evidence (2 keyword clusters),Frontend framework/language developer title,False,,0.6
DevOps Engineer (M/F),AFRICASHORE,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,True,0.6,0.95,1.0,Title strongly indicates ICT role: 'DevOps Engineer (M/F)'; Weak ICT function evidence (1 keyword clusters),Title indicates DevOps engineering,False,,0.6
Network Architect (M/F),AFRICASHORE,Network Engineer / Network Administrator,Networks,Networks,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'Network Architect (M/F)'; Weak ICT function evidence (1 keyword clusters),Network Architect maps to Network Engineer,False,,0.6
AWS Solutions Architect (M/F),AFRICASHORE,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'AWS Solutions Architect (M/F)'; Weak ICT function evidence (1 keyword clusters),Cloud architecture/specialist title maps to DevOps / Cloud Engineer,False,,0.6
AZURE Solutions Architect (M/F),AFRICASHORE,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'AZURE Solutions Architect (M/F)'; Weak ICT function evidence (1 keyword clusters),Cloud architecture/specialist title maps to DevOps / Cloud Engineer,False,,0.6
Cloud System Administrator (M/F),AFRICASHORE,Systems Administrator,Systems & Infrastructure,Systems & Infrastructure,True,0.6,0.95,1.0,Title strongly indicates ICT role: 'Cloud System Administrator (M/F)'; Weak ICT function evidence (2 keyword clusters),Title indicates systems administration,False,,0.6
Cloud Microservices Architect (M/F),AFRICASHORE,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'Cloud Microservices Architect (M/F)'; Weak ICT function evidence (1 keyword clusters),Cloud architecture/specialist title maps to DevOps / Cloud Engineer,False,,0.6
Cyber Security Engineer (M/F),AFRICASHORE,Cybersecurity Analyst / Security Engineer,Cybersecurity,Cybersecurity,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'Cyber Security Engineer (M/F)'; Weak ICT function evidence (1 keyword clusters),Title indicates cybersecurity role,False,,0.6
Digital Project Manager,Vision Fund Rwanda,ICT Manager / IT Manager,ICT Management,ICT Management,True,0.65,0.9,0.95,"Title strongly indicates ICT role: 'Digital Project Manager'; Industry includes 'Computer and IT': Computer and IT, Other",Title indicates ICT management role,False,,0.65
IT Internal Auditor,Vision Fund Rwanda,IT Auditor / IT Governance & Risk,IT Governance & Audit,IT Governance & Audit,True,0.85,0.9,0.95,"Title strongly indicates ICT role: 'IT Internal Auditor'; Industry includes 'Computer and IT': Computer and IT, Other; Moderate ICT function evidence (4 keyword clusters)",Title indicates IT audit/governance role,False,,0.85
Solution Engineer,SanlamAllianz Life Insurance Plc,Full-Stack Developer,Software Development,Software Development,True,1.0,0.85,0.9,"Title strongly indicates ICT role: 'Solution Engineer'; Industry includes 'Computer and IT': Computer and IT, Other; Strong ICT function evidence (7 keyword clusters)",Solution Engineer with full-stack responsibilities (front-end + back-end),False,,1.0
Network and Security Engineer,Rwanda Medical Supply Ltd,Network Engineer / Network Administrator,Networks,Networks,True,1.0,0.9,0.95,"Title strongly indicates ICT role: 'Network and Security Engineer'; Industry includes 'Computer and IT': Computer and IT, Other; Strong ICT function evidence (7 keyword clusters)",Title indicates network + security engineering (network-primary),False,,1.0
