id,year,period,sector,role_family,role,occupation_proxy,historical_role_status,ict_employment,ict_employment_share_pct,total_employment,labour_force_participation_rate_pct,employment_to_population_ratio_pct,unemployment_rate_pct,tertiary_employment_count,role_demand_index,role_share_within_ict_pct,role_employment_proxy,emergence_year,data_basis,synthetic_flag,target_role_demand_index_1y,target_role_demand_index_2y,target_role_demand_6m,note_6m
ICT05_2005_011,2005,2005-01-01/2005-12-31,ICT / Computer Science,IT Operations & Support,IT Officer / ICT Administrator,ICT technical proxy,Established / growing,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,52.94,8.7032,132.3,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,52.89,52.84,,No sub-annual data available
ICT05_2005_012,2005,2005-01-01/2005-12-31,ICT / Computer Science,IT Operations & Support,IT Support / Help Desk Technician,ICT technical proxy,Established / high infrastructure relevance,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,58.82,9.6702,147.0,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,59.98,61.14,,No sub-annual data available
ICT05_2005_013,2005,2005-01-01/2005-12-31,ICT / Computer Science,Cybersecurity,Cybersecurity Analyst / Security Engineer,ICT security proxy,Emerging,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,7.04,1.1604,17.6,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,7.91,8.85,,No sub-annual data available
ICT05_2005_014,2005,2005-01-01/2005-12-31,ICT / Computer Science,Cloud & DevOps,DevOps / Cloud Engineer,Modern infrastructure proxy,Not mature / emerging,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,0.32,0.0532,0.8,2010,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,0.41,0.47,,No sub-annual data available
ICT05_2005_015,2005,2005-01-01/2005-12-31,ICT / Computer Science,Software Quality,QA / Software Test Engineer,ICT software quality proxy,Established / smaller volume,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,10.6,1.7406,26.5,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,11.36,12.19,,No sub-annual data available
ICT05_2005_016,2005,2005-01-01/2005-12-31,ICT / Computer Science,ICT Management,ICT Manager / IT Manager,ICT management proxy,Established / smaller volume,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,34.13,5.6087,85.3,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,33.77,33.4,,No sub-annual data available
ICT05_2005_017,2005,2005-01-01/2005-12-31,ICT / Computer Science,IT Governance & Audit,IT Auditor / IT Governance & Risk,ICT governance proxy,Established / smaller volume,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,5.88,0.967,14.7,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,6.15,6.43,,No sub-annual data available
ICT05_2005_018,2005,2005-01-01/2005-12-31,ICT / Computer Science,Networks,Telecommunications / Network Technician,ICT/telecom proxy,Established / high infrastructure relevance,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,82.35,13.5383,205.8,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,81.58,80.76,,No sub-annual data available
ICT05_2005_019,2005,2005-01-01/2005-12-31,ICT / Computer Science,Other ICT,Other ICT Technical Roles,Other ICT proxy,Established / smaller volume,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,28.25,4.6417,70.6,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,27.15,26.1,,No sub-annual data available
ICT05_2005_020,2005,2005-01-01/2005-12-31,ICT / Computer Science,Software Development,ICT Applications / E-Government Developer,Software/services proxy,Established / smaller volume,1520.0,0.08,1900000.0,25.0,18.8,25.0,700000.0,14.69,2.4176,36.7,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,16.2,17.84,,No sub-annual data available
ICT05_2006_021,2006,2006-01-01/2006-12-31,ICT / Computer Science,Software Development,Software Developer / Software Engineer,2512/2514,Established / growing,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,45.32,7.3275,144.4,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,46.52,47.78,,No sub-annual data available
ICT05_2006_022,2006,2006-01-01/2006-12-31,ICT / Computer Science,Software Development,Frontend / Web Developer,2513,Established / smaller volume,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,22.28,3.606,71.0,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,24.15,26.14,,No sub-annual data available
ICT05_2006_023,2006,2006-01-01/2006-12-31,ICT / Computer Science,Software Development,Mobile App Developer,2514,Emerging,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,4.11,0.6661,13.1,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,4.82,5.6,,No sub-annual data available
ICT05_2006_024,2006,2006-01-01/2006-12-31,ICT / Computer Science,Systems Analysis,Systems Analyst / IT Business Analyst,2511,Established / smaller volume,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,24.17,3.908,77.0,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,24.82,25.47,,No sub-annual data available
ICT05_2006_025,2006,2006-01-01/2006-12-31,ICT / Computer Science,Data & Analytics,Data Analyst,Data/Analytical proxy,Established / smaller volume,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,17.23,2.7853,54.9,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,18.01,18.83,,No sub-annual data available
ICT05_2006_026,2006,2006-01-01/2006-12-31,ICT / Computer Science,Data & Analytics,Data Engineer,Data/ICT proxy,Emerging,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,3.36,0.5418,10.7,2009,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,3.82,4.35,,No sub-annual data available
ICT05_2006_027,2006,2006-01-01/2006-12-31,ICT / Computer Science,Data & Analytics,Data Scientist,Emerging modern role proxy,Not mature / emerging,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,0.35,0.0576,1.1,2012,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,0.4,0.44,,No sub-annual data available
ICT05_2006_028,2006,2006-01-01/2006-12-31,ICT / Computer Science,Data & Database,Database Administrator,2521,Established / growing,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,28.47,4.6043,90.7,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,28.71,28.93,,No sub-annual data available
ICT05_2006_029,2006,2006-01-01/2006-12-31,ICT / Computer Science,Networks,Network Engineer / Network Administrator,2523,Established / high infrastructure relevance,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,100.0,16.1741,318.6,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,100.0,100.0,,No sub-annual data available
ICT05_2006_030,2006,2006-01-01/2006-12-31,ICT / Computer Science,Systems & Infrastructure,Systems Administrator,2522,Established / high infrastructure relevance,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,75.67,12.2391,241.1,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,77.89,80.14,,No sub-annual data available
ICT05_2006_031,2006,2006-01-01/2006-12-31,ICT / Computer Science,IT Operations & Support,IT Officer / ICT Administrator,ICT technical proxy,Established / growing,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,52.89,8.5532,168.5,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,52.84,52.75,,No sub-annual data available
ICT05_2006_032,2006,2006-01-01/2006-12-31,ICT / Computer Science,IT Operations & Support,IT Support / Help Desk Technician,ICT technical proxy,Established / high infrastructure relevance,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,59.98,9.6989,191.1,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,61.14,62.32,,No sub-annual data available
ICT05_2006_033,2006,2006-01-01/2006-12-31,ICT / Computer Science,Cybersecurity,Cybersecurity Analyst / Security Engineer,ICT security proxy,Emerging,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,7.91,1.279,25.2,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,8.85,9.93,,No sub-annual data available
ICT05_2006_034,2006,2006-01-01/2006-12-31,ICT / Computer Science,Cloud & DevOps,DevOps / Cloud Engineer,Modern infrastructure proxy,Not mature / emerging,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,0.41,0.0635,1.3,2010,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,0.47,0.57,,No sub-annual data available
ICT05_2006_035,2006,2006-01-01/2006-12-31,ICT / Computer Science,Software Quality,QA / Software Test Engineer,ICT software quality proxy,Established / smaller volume,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,11.36,1.8385,36.2,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,12.19,13.1,,No sub-annual data available
ICT05_2006_036,2006,2006-01-01/2006-12-31,ICT / Computer Science,ICT Management,ICT Manager / IT Manager,ICT management proxy,Established / smaller volume,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,33.77,5.4605,107.6,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,33.4,33.05,,No sub-annual data available
ICT05_2006_037,2006,2006-01-01/2006-12-31,ICT / Computer Science,IT Governance & Audit,IT Auditor / IT Governance & Risk,ICT governance proxy,Established / smaller volume,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,6.15,0.9948,19.6,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,6.43,6.72,,No sub-annual data available
ICT05_2006_038,2006,2006-01-01/2006-12-31,ICT / Computer Science,Networks,Telecommunications / Network Technician,ICT/telecom proxy,Established / high infrastructure relevance,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,81.58,13.1905,259.9,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,80.76,79.97,,No sub-annual data available
ICT05_2006_039,2006,2006-01-01/2006-12-31,ICT / Computer Science,Other ICT,Other ICT Technical Roles,Other ICT proxy,Established / smaller volume,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,27.15,4.3912,86.5,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,26.1,25.09,,No sub-annual data available
ICT05_2006_040,2006,2006-01-01/2006-12-31,ICT / Computer Science,Software Development,ICT Applications / E-Government Developer,Software/services proxy,Established / smaller volume,1970.0,0.1,1970000.0,25.3,19.1,24.5,740000.0,16.2,2.6201,51.6,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,17.84,19.65,,No sub-annual data available
ICT05_2007_041,2007,2007-01-01/2007-12-31,ICT / Computer Science,Software Development,Software Developer / Software Engineer,2512/2514,Established / growing,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,46.52,7.3948,196.1,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,47.78,49.06,,No sub-annual data available
ICT05_2007_042,2007,2007-01-01/2007-12-31,ICT / Computer Science,Software Development,Frontend / Web Developer,2513,Established / smaller volume,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,24.15,3.8377,101.8,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,26.14,28.31,,No sub-annual data available
ICT05_2007_043,2007,2007-01-01/2007-12-31,ICT / Computer Science,Software Development,Mobile App Developer,2514,Emerging,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,4.82,0.7639,20.3,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,5.6,6.54,,No sub-annual data available
ICT05_2007_044,2007,2007-01-01/2007-12-31,ICT / Computer Science,Systems Analysis,Systems Analyst / IT Business Analyst,2511,Established / smaller volume,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,24.82,3.9439,104.6,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,25.47,26.16,,No sub-annual data available
ICT05_2007_045,2007,2007-01-01/2007-12-31,ICT / Computer Science,Data & Analytics,Data Analyst,Data/Analytical proxy,Established / smaller volume,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,18.01,2.862,75.9,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,18.83,19.69,,No sub-annual data available
ICT05_2007_046,2007,2007-01-01/2007-12-31,ICT / Computer Science,Data & Analytics,Data Engineer,Data/ICT proxy,Emerging,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,3.82,0.6064,16.1,2009,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,4.35,4.95,,No sub-annual data available
ICT05_2007_047,2007,2007-01-01/2007-12-31,ICT / Computer Science,Data & Analytics,Data Scientist,Emerging modern role proxy,Not mature / emerging,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,0.4,0.0624,1.7,2012,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,0.44,0.48,,No sub-annual data available
ICT05_2007_048,2007,2007-01-01/2007-12-31,ICT / Computer Science,Data & Database,Database Administrator,2521,Established / growing,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,28.71,4.5622,121.0,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,28.93,29.18,,No sub-annual data available
ICT05_2007_049,2007,2007-01-01/2007-12-31,ICT / Computer Science,Networks,Network Engineer / Network Administrator,2523,Established / high infrastructure relevance,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,100.0,15.8954,421.5,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,100.0,100.0,,No sub-annual data available
ICT05_2007_050,2007,2007-01-01/2007-12-31,ICT / Computer Science,Systems & Infrastructure,Systems Administrator,2522,Established / high infrastructure relevance,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,77.89,12.3786,328.3,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,80.14,82.47,,No sub-annual data available
ICT05_2007_051,2007,2007-01-01/2007-12-31,ICT / Computer Science,IT Operations & Support,IT Officer / ICT Administrator,ICT technical proxy,Established / growing,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,52.84,8.3964,222.7,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,52.75,52.7,,No sub-annual data available
ICT05_2007_052,2007,2007-01-01/2007-12-31,ICT / Computer Science,IT Operations & Support,IT Support / Help Desk Technician,ICT technical proxy,Established / high infrastructure relevance,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,61.14,9.7169,257.7,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,62.32,63.52,,No sub-annual data available
ICT05_2007_053,2007,2007-01-01/2007-12-31,ICT / Computer Science,Cybersecurity,Cybersecurity Analyst / Security Engineer,ICT security proxy,Emerging,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,8.85,1.4081,37.3,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,9.93,11.11,,No sub-annual data available
ICT05_2007_054,2007,2007-01-01/2007-12-31,ICT / Computer Science,Cloud & DevOps,DevOps / Cloud Engineer,Modern infrastructure proxy,Not mature / emerging,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,0.47,0.0757,2.0,2010,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,0.57,0.7,,No sub-annual data available
ICT05_2007_055,2007,2007-01-01/2007-12-31,ICT / Computer Science,Software Quality,QA / Software Test Engineer,ICT software quality proxy,Established / smaller volume,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,12.19,1.9398,51.4,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,13.1,14.06,,No sub-annual data available
ICT05_2007_056,2007,2007-01-01/2007-12-31,ICT / Computer Science,ICT Management,ICT Manager / IT Manager,ICT management proxy,Established / smaller volume,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,33.4,5.3103,140.8,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,33.05,32.71,,No sub-annual data available
ICT05_2007_057,2007,2007-01-01/2007-12-31,ICT / Computer Science,IT Governance & Audit,IT Auditor / IT Governance & Risk,ICT governance proxy,Established / smaller volume,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,6.43,1.0222,27.1,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,6.72,7.03,,No sub-annual data available
ICT05_2007_058,2007,2007-01-01/2007-12-31,ICT / Computer Science,Networks,Telecommunications / Network Technician,ICT/telecom proxy,Established / high infrastructure relevance,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,80.76,12.8374,340.4,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,79.97,79.21,,No sub-annual data available
ICT05_2007_059,2007,2007-01-01/2007-12-31,ICT / Computer Science,Other ICT,Other ICT Technical Roles,Other ICT proxy,Established / smaller volume,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,26.1,4.1495,110.0,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,25.09,24.14,,No sub-annual data available
ICT05_2007_060,2007,2007-01-01/2007-12-31,ICT / Computer Science,Software Development,ICT Applications / E-Government Developer,Software/services proxy,Established / smaller volume,2652.0,0.13,2040000.0,25.6,19.4,24.0,790000.0,17.84,2.8365,75.2,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,19.65,21.65,,No sub-annual data available
ICT05_2008_061,2008,2008-01-01/2008-12-31,ICT / Computer Science,Software Development,Software Developer / Software Engineer,2512/2514,Established / growing,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,47.78,7.4541,251.7,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,49.06,100.0,,No sub-annual data available
ICT05_2008_062,2008,2008-01-01/2008-12-31,ICT / Computer Science,Software Development,Frontend / Web Developer,2513,Established / smaller volume,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,26.14,4.0794,137.7,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,28.31,1.65,,No sub-annual data available
ICT05_2008_063,2008,2008-01-01/2008-12-31,ICT / Computer Science,Software Development,Mobile App Developer,2514,Emerging,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,5.6,0.8751,29.5,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,6.54,1.07,,No sub-annual data available
ICT05_2008_064,2008,2008-01-01/2008-12-31,ICT / Computer Science,Systems Analysis,Systems Analyst / IT Business Analyst,2511,Established / smaller volume,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,25.47,3.9755,134.2,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,26.16,46.43,,No sub-annual data available
ICT05_2008_065,2008,2008-01-01/2008-12-31,ICT / Computer Science,Data & Analytics,Data Analyst,Data/Analytical proxy,Established / smaller volume,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,18.83,2.9374,99.2,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,19.69,1.11,,No sub-annual data available
ICT05_2008_066,2008,2008-01-01/2008-12-31,ICT / Computer Science,Data & Analytics,Data Engineer,Data/ICT proxy,Emerging,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,4.35,0.678,22.9,2009,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,4.95,0.58,,No sub-annual data available
ICT05_2008_067,2008,2008-01-01/2008-12-31,ICT / Computer Science,Data & Analytics,Data Scientist,Emerging modern role proxy,Not mature / emerging,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,0.44,0.0675,2.3,2012,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,0.48,0.38,,No sub-annual data available
ICT05_2008_068,2008,2008-01-01/2008-12-31,ICT / Computer Science,Data & Database,Database Administrator,2521,Established / growing,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,28.93,4.5151,152.4,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,29.18,36.51,,No sub-annual data available
ICT05_2008_069,2008,2008-01-01/2008-12-31,ICT / Computer Science,Networks,Network Engineer / Network Administrator,2523,Established / high infrastructure relevance,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,100.0,15.6033,526.8,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,100.0,47.17,,No sub-annual data available
ICT05_2008_070,2008,2008-01-01/2008-12-31,ICT / Computer Science,Systems & Infrastructure,Systems Administrator,2522,Established / high infrastructure relevance,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,80.14,12.505,422.2,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,82.47,43.5,,No sub-annual data available
ICT05_2008_071,2008,2008-01-01/2008-12-31,ICT / Computer Science,IT Operations & Support,IT Officer / ICT Administrator,ICT technical proxy,Established / growing,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,52.75,8.2329,277.9,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,52.7,60.58,,No sub-annual data available
ICT05_2008_072,2008,2008-01-01/2008-12-31,ICT / Computer Science,IT Operations & Support,IT Support / Help Desk Technician,ICT technical proxy,Established / high infrastructure relevance,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,62.32,9.7235,328.3,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,63.52,54.14,,No sub-annual data available
ICT05_2008_073,2008,2008-01-01/2008-12-31,ICT / Computer Science,Cybersecurity,Cybersecurity Analyst / Security Engineer,ICT security proxy,Emerging,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,9.93,1.5484,52.3,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,11.11,0.27,,No sub-annual data available
ICT05_2008_074,2008,2008-01-01/2008-12-31,ICT / Computer Science,Cloud & DevOps,DevOps / Cloud Engineer,Modern infrastructure proxy,Not mature / emerging,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,0.57,0.0902,3.0,2010,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,0.7,0.21,,No sub-annual data available
ICT05_2008_075,2008,2008-01-01/2008-12-31,ICT / Computer Science,Software Quality,QA / Software Test Engineer,ICT software quality proxy,Established / smaller volume,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,13.1,2.0442,69.0,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,14.06,0.37,,No sub-annual data available
ICT05_2008_076,2008,2008-01-01/2008-12-31,ICT / Computer Science,ICT Management,ICT Manager / IT Manager,ICT management proxy,Established / smaller volume,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,33.05,5.1582,174.1,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,32.71,23.04,,No sub-annual data available
ICT05_2008_077,2008,2008-01-01/2008-12-31,ICT / Computer Science,IT Governance & Audit,IT Auditor / IT Governance & Risk,ICT governance proxy,Established / smaller volume,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,6.72,1.0491,35.4,2008,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,7.03,0.18,,No sub-annual data available
ICT05_2008_078,2008,2008-01-01/2008-12-31,ICT / Computer Science,Networks,Telecommunications / Network Technician,ICT/telecom proxy,Established / high infrastructure relevance,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,79.97,12.4792,421.3,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,79.21,,,No sub-annual data available
ICT05_2008_079,2008,2008-01-01/2008-12-31,ICT / Computer Science,Other ICT,Other ICT Technical Roles,Other ICT proxy,Established / smaller volume,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,25.09,3.9166,132.2,2005,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,24.14,17.69,,No sub-annual data available
ICT05_2008_080,2008,2008-01-01/2008-12-31,ICT / Computer Science,Software Development,ICT Applications / E-Government Developer,Software/services proxy,Established / smaller volume,3376.0,0.16,2110000.0,25.9,19.8,23.5,840000.0,19.65,3.0672,103.5,2007,"Extrapolated from Census 2002, scaled to LFS 2017 anchor",1,21.65,,,No sub-annual data available
