column_name,data_type,description
C21H,DOUBLE,Wait on the street to be recruited
C21I,DOUBLE,Seek financial help to start a business
C21J,DOUBLE,"Look for land, building, equipment, materials to start a business"
C21K,DOUBLE,Apply for permit or licence to start a business
C21L,DOUBLE,No method
C21M,DOUBLE,"Other, specify"
C22,DOUBLE,For how long have you been without work and trying to find a paid job or start a business?
C23,DOUBLE,Would you want to work if a paid job or business opportunity became available?
C24,DOUBLE,What was the main reason you did not try to find a paid job or start a business?
C25,DOUBLE,"If a paid job or business opportunity become available, could you have started work during the last 7 days or within the next two weeks?"
C26,DOUBLE,What is the main reason why you could not start working in the last 7 days or next two weeks?
D03A,DOUBLE,What is the name of your workplace?
D04,DOUBLE,Do you work in...
D05,DOUBLE,"In this job, are you working as..."
D05A,DOUBLE,How many persons including you at your work place?
D05A1,DOUBLE,"Number of persons including you at your workplace, if less than 10?"
D06,DOUBLE,Have you been employed on the basis of...
D07,DOUBLE,Is your contract or agreement...
D08,DOUBLE,The duration of the contract or agreement?
D09A,DOUBLE,Does employer pay contributions on your behalf to social security fund?
D10A,DOUBLE,Benefits paid for annual leave?
D10B,DOUBLE,Benefits paid for sick leave?
D10C,DOUBLE,Benefits paid for maternity/paternity leave?
D10D,DOUBLE,Is your salary subjected to deduction of tax (PAYE)?
D12,DOUBLE,"How much did you earn at main job last time in cash and in kind, before tax?"
D20,DOUBLE,Is the business/establishment where you work registered with the RRA or paying PAYE/TPR?
D21,DOUBLE,"In order to report to an authority, does the business/establishment where you work keep written records of accounts?"
D21A,DOUBLE,What kind of accounts or records does the (business/farm) keep?
D23,DOUBLE,In what type of place do you usually work?
D23A,DOUBLE,What means of transportation do you mainly use to commute to your place of work?
D23B,DOUBLE,How long does it normally take you to get to work?
D24,DOUBLE,How long have you been working (total experience)?
D25A,DOUBLE,Is this district the same as the district where you perform your main job?
D25B,DOUBLE,"In which district do you mainly perform this work? Numeric code (11�57) representing the respondent's work district in Rwanda. The first digit corresponds to the province (1-5), and the second digit identifies the district within that province. 11 = Nyarugenge, 12 = Gasabo, 13 = Kicukiro, 21 = Nyanza, 22 = Gisagara, 23 = Nyaruguru, 24 = Huye, 25 = Nyamagabe, 26 = Ruhango, 27 = Muhanga, 28 = Kamonyi, 31 = Karongi, 32 = Rutsiro, 33 = Rubavu, 34 = Nyabihu, 35 = Ngororero, 36 = Rusizi, 37 = Nyamasheke, 41 = Rulindo, 42 = Gakenke, 43 = Musanze, 44 = Burera, 45 = Gicumbi, 51 = Rwamagana, 52 = Nyagatare, 53 = Gatsibo, 54 = Kayonza, 55 = Kirehe, 56 = Ngoma, 57 = Bugesera."
F02,DOUBLE,The main reason to stop working in your last paid job / business?
F05,DOUBLE,What is your main source of income at present?
G01,DOUBLE,"In the last 7 days, how many hours did you spend collecting firewood for the household, including travel time?"
G01A,DOUBLE,"In the last 7 days, did you spend time collecting firewood for the household?"
G02,DOUBLE,"In the last 7 days, how many hours did you spend fetching water for the household, including travel time?"
G02A,DOUBLE,"In the last 7 days, did you spend time on fetching water for the household?"
G03,DOUBLE,"In the last 7 days, how many hours did you spend searching for fodder or grazing for the household’s animals?"
G03A,DOUBLE,"In the last 7 days, did you spent time on grazing or feeding household animals?"
G04,DOUBLE,"In the last 7 days, how many hours did you spend manufacturing household goods for own or family use (such as furniture, textiles, clothing, footwear, pottery, crafts or other durables, excluding foodstuff)?"
G04A,DOUBLE,"In the last 7 days, did you spend time on manufacturing of goods for family use?"
G05,DOUBLE,"In the last 7 days, how many hours did you spend constructing your dwelling, making major repairs on it, farm buildings, private roads, or wells?"
G05A,DOUBLE,"In the last 7 days, did you spend time on construction of own building?"
G06,DOUBLE,"In the last 7 days, how many hours did you spend doing household chores including shopping, preparing meals?"
G06A,DOUBLE,"In the last 7 days, did you spend time on doing household chores?"
G07,DOUBLE,"In the last 7 days, how many hours did you spend looking after children and elderly?"
G07A,DOUBLE,"In the last 7 days, did you take time to look after children or adults?"
H01,DOUBLE,"During the last four weeks did you do any of the following work mainly for own consumption such as farm work, growing fodder, raising or tending animals, fishing, storage such as of flour, dry fish or other food and drink, hunting or gathering foodstuffs, preparing foodstuffs for storage such flour and drinks?"
H02,DOUBLE,How many days per week did you usually work in these activities?
H03,DOUBLE,How many hours per day have you usually worked in these activities?
H05,DOUBLE,"In general, did the household sell or barter any part of the goods obtained from this work?"
H06,DOUBLE,About how much does the household regularly sell?
H09,DOUBLE,Do you regularly or sometimes engage paid employee in the farming activity?
H10,DOUBLE,"Excluding family members, how many paid employees do you usually engage in these agricultural activities?"
status1,DOUBLE,Labour force status with 16+
wap16,DOUBLE,Working age population
employed16,DOUBLE,Employment to population ratio
UR1,DOUBLE,Unemployment rate
LFPR,DOUBLE,Labour force participation rate
sub,DOUBLE,Diminished subsistence foodstuff producers
TRU,DOUBLE,Time related underemployment
PLF,DOUBLE,Potential labour force
youth,DOUBLE,Youth 16 to 24 years old
young,DOUBLE,Young 16 to 30 years old
LUU,DOUBLE,Labour underutilisation
LUUR,DOUBLE,Labour underutilisation rate
disable,DOUBLE,Person with disability
discourage,DOUBLE,Discouraged jobseekers
willing,DOUBLE,Willing non seeker and not available
migrant,DOUBLE,Recent migration
neetyouth,DOUBLE,NEET 16-24
neetyoung,DOUBLE,NEET 16-30
youngs,DOUBLE,Young status
main_sect,DOUBLE,Economic sector
indb1,DOUBLE,Years of schooling
attained,DOUBLE,Level of education completed
cash,DOUBLE,Monthly income in cash for employees
intcash,DOUBLE,Income interval
age5,SMALLINT,Five years age group
age10,DOUBLE,Broader age group
usualhrs,DOUBLE,Usual working hours
timegood,DOUBLE,Time spent in production of goods
timeservice,DOUBLE,Time spent in production of services
hhsize,SMALLINT,Household size
usual_h,DOUBLE,Number of usual hours
act_hrs,DOUBLE,Number of actual hours worked
acthrs,DOUBLE,Actual hours intervals
YA,DOUBLE,Young/adult
hr_own,DOUBLE,Total hours in own use
subhrs,DOUBLE,Time spent in subsistence activities
hr_cshmain,DOUBLE,Hourly wage of employees in main job
hr_cash,DOUBLE,Hourly wage of employees
TVT2,DOUBLE,General or TVET attainment
Prod_unit,DOUBLE,Production sector unit
UD,DOUBLE,Unemployment duration
IEV2,DOUBLE,Formal and informal employment for main job
head,DOUBLE,Head of the household
dG01,DOUBLE,Fetch firewood
dG02,DOUBLE,Fetch water
dG03,DOUBLE,Searching fodder or grazing
dG04,DOUBLE,Manufacturing household goods
dG05,DOUBLE,Repairing household
dG06,DOUBLE,Cooking and shopping
dG07,DOUBLE,Looking after children and elderly
age3,DOUBLE,Selected age group
TVT,DOUBLE,Attended TVT or not
age3_16_30,DOUBLE,Youth age groups
YUR1,DOUBLE,Youth unemployment rate
indb05,DOUBLE,Field of education
indd01,DOUBLE,ISCO High Level
indd03,DOUBLE,ISIC High Level
EN01,SMALLINT,Main source of energy that your household uses for lighting?
EN01_OTHERS,VARCHAR,Main source of energy that your household uses for lighting - Other (specify)
LU2,DOUBLE,Combined rate of unemployment and time-related underemployment (%)
LU3,DOUBLE,Combined rate of unemployment and potential labour force (%)
LU4,DOUBLE,Composite measure of labour underutilization (%)
TRUR,DOUBLE,Time related underemployment rate (%)
isco2digit,DOUBLE,Occupation activity at two digit
isic2digitdigit,DOUBLE,Economic activity at two digit
