year,period,sector,role_family,role,occupation_proxy,historical_role_status,ict_employment,ict_employment_share_pct,total_employment,labour_force_participation_rate_pct,employment_to_population_ratio_pct,unemployment_rate_pct,tertiary_employment_count,role_demand_index,role_share_within_ict_pct,role_employment_proxy,emergence_year,data_basis,synthetic_flag,target_role_demand_index_1y,target_role_demand_index_2y,target_role_demand_6m,note_6m,role_encoded,years_since_emergence,trend_position,share_lag1,share_change_1y,share_change_2y,share_accel,share_growth_rate,target_share_1y,sample_weight
2015,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),historical proxy only,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,0.2,0.039,7.8,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.19,0.18,,No sub-annual data available,1,0,0.3125,0.04,-0.0010000000000000009,-0.008,0.005999999999999998,-0.025641025641025664,0.034,0.0820849986238988
2016,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),historical proxy only,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,0.19,0.034,8.8,2018,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.18,5.92,,No sub-annual data available,1,0,0.375,0.039,-0.0049999999999999975,-0.005999999999999998,-0.003999999999999997,-0.1470588235294117,0.031,0.10539922456186433
2017,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),historical proxy only,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,0.18,0.031,13.5,2018,NISR Labour Force Survey microdata,1,5.92,7.17,,No sub-annual data available,1,0,0.4375,0.034,-0.0030000000000000027,-0.008,0.001999999999999995,-0.09677419354838718,0.92,0.1353352832366127
2018,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,5.92,0.92,637.5,2018,NISR Labour Force Survey microdata,1,7.17,8.07,,No sub-annual data available,1,0,0.5,0.031,0.889,0.886,0.892,0.9663043478260869,1.06,0.17377394345044514
2019,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,7.17,1.06,1028.0,2018,NISR Labour Force Survey microdata,1,8.07,8.75,,No sub-annual data available,1,1,0.5625,0.92,0.14,1.0290000000000001,-0.749,0.1320754716981132,1.174,0.22313016014842982
2020,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,8.07,1.174,1078.0,2018,NISR Labour Force Survey microdata,1,8.75,9.6,,No sub-annual data available,1,2,0.625,1.06,0.11399999999999988,0.2539999999999999,-0.026000000000000134,0.0971039182282793,1.263,0.2865047968601901
2021,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,8.75,1.263,690.1,2018,NISR Labour Force Survey microdata,1,9.6,10.73,,No sub-annual data available,1,3,0.6875,1.174,0.08899999999999997,0.20299999999999985,-0.02499999999999991,0.07046714172604907,1.347,0.36787944117144233
2022,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,9.6,1.347,1155.5,2018,NISR Labour Force Survey microdata,1,10.73,11.73,,No sub-annual data available,1,4,0.75,1.263,0.08400000000000007,0.17300000000000004,-0.004999999999999893,0.06236080178173725,1.457,0.4723665527410147
2023,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,10.73,1.457,1985.7,2018,NISR Labour Force Survey microdata,1,11.73,12.26,,No sub-annual data available,1,5,0.8125,1.347,0.1100000000000001,0.19400000000000017,0.026000000000000023,0.07549759780370631,1.573,0.6065306597126334
2024,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,11.73,1.573,2837.7,2018,NISR Labour Force Survey microdata,1,12.26,15.3,,No sub-annual data available,1,6,0.875,1.457,0.11599999999999988,0.22599999999999998,0.005999999999999783,0.07374443738080094,1.655,0.7788007830714049
2025,annual,ICT,Cybersecurity,Cybersecurity Analyst / Security Engineer,Related ICT professional/technician categories (proxy),trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,12.26,1.655,3528.6,2018,NISR Labour Force Survey microdata,1,15.3,,,No sub-annual data available,1,7,0.9375,1.573,0.08200000000000007,0.19799999999999995,-0.03399999999999981,0.04954682779456197,1.688,1.0
2010,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,1.11,0.252,14.2,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.95,0.9,,No sub-annual data available,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.023517745856009107
2011,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),historical proxy only,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,0.95,0.22,16.4,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.9,0.89,,No sub-annual data available,2,0,0.0625,0.252,-0.032,0.0,0.0,-0.14545454545454545,0.207,0.0301973834223185
2012,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),historical proxy only,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,0.9,0.207,19.9,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.89,0.86,,No sub-annual data available,2,0,0.125,0.22,-0.013000000000000012,-0.04500000000000001,0.01899999999999999,-0.06280193236714982,0.202,0.03877420783172201
2013,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),historical proxy only,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,0.89,0.202,25.0,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.86,0.79,,No sub-annual data available,2,0,0.1875,0.207,-0.004999999999999977,-0.017999999999999988,0.008000000000000035,-0.024752475247524636,0.17,0.049787068367863944
2014,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),historical proxy only,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,0.86,0.17,26.9,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.79,0.75,,No sub-annual data available,2,0,0.25,0.202,-0.032,-0.03699999999999998,-0.027000000000000024,-0.18823529411764706,0.157,0.06392786120670757
2015,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),historical proxy only,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,0.79,0.157,31.4,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.75,24.7,,No sub-annual data available,2,0,0.3125,0.17,-0.013000000000000012,-0.04500000000000001,0.01899999999999999,-0.08280254777070072,0.137,0.0820849986238988
2016,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),historical proxy only,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,0.75,0.137,35.3,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,24.7,30.48,,No sub-annual data available,2,0,0.375,0.157,-0.01999999999999999,-0.033,-0.0069999999999999785,-0.14598540145985392,4.208,0.10539922456186433
2017,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,24.7,4.208,1826.9,2017,NISR Labour Force Survey microdata,1,30.48,34.57,,No sub-annual data available,2,0,0.4375,0.137,4.071,4.051,4.090999999999999,0.9674429657794675,4.741,0.1353352832366127
2018,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,30.48,4.741,3285.0,2017,NISR Labour Force Survey microdata,1,34.57,36.75,,No sub-annual data available,2,1,0.5,4.208,0.5329999999999995,4.603999999999999,-3.5380000000000003,0.11242353933769236,5.113,0.17377394345044514
2019,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,34.57,5.113,4958.7,2017,NISR Labour Force Survey microdata,1,36.75,39.55,,No sub-annual data available,2,2,0.5625,4.741,0.3720000000000008,0.9050000000000002,-0.1609999999999987,0.07275572071191096,5.345,0.22313016014842982
2020,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,36.75,5.345,4907.8,2017,NISR Labour Force Survey microdata,1,39.55,44.5,,No sub-annual data available,2,3,0.625,5.113,0.23199999999999932,0.6040000000000001,-0.14000000000000146,0.0434050514499531,5.706,0.2865047968601901
2021,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,39.55,5.706,3117.8,2017,NISR Labour Force Survey microdata,1,44.5,49.68,,No sub-annual data available,2,4,0.6875,5.345,0.36100000000000065,0.593,0.12900000000000134,0.06326673676831417,6.246,0.36787944117144233
2022,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,44.5,6.246,5358.1,2017,NISR Labour Force Survey microdata,1,49.68,52.08,,No sub-annual data available,2,5,0.75,5.706,0.54,0.9010000000000007,0.17899999999999938,0.08645533141210375,6.745,0.4723665527410147
2023,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,49.68,6.745,9192.7,2017,NISR Labour Force Survey microdata,1,52.08,52.58,,No sub-annual data available,2,6,0.8125,6.246,0.49899999999999967,1.0389999999999997,-0.04100000000000037,0.0739807264640474,6.985,0.6065306597126334
2024,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,52.08,6.985,12600.9,2017,NISR Labour Force Survey microdata,1,52.58,56.6,,No sub-annual data available,2,7,0.875,6.745,0.2400000000000002,0.7389999999999999,-0.25899999999999945,0.03435934144595565,7.1,0.7788007830714049
2025,annual,ICT,Data & Analytics,Data Analyst,ICT professionals / analysts (proxy),trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,52.58,7.1,15137.8,2017,NISR Labour Force Survey microdata,1,56.6,,,No sub-annual data available,2,8,0.9375,6.985,0.11499999999999932,0.35499999999999954,-0.1250000000000009,0.016197183098591455,6.242,1.0
2010,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.58,0.132,7.4,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.51,0.48,,No sub-annual data available,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.023517745856009107
2011,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,0.51,0.117,8.7,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.48,0.47,,No sub-annual data available,3,0,0.0625,0.132,-0.015,0.0,0.0,-0.1282051282051282,0.111,0.0301973834223185
2012,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,0.48,0.111,10.7,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.47,0.45,,No sub-annual data available,3,0,0.125,0.117,-0.006000000000000005,-0.021000000000000005,0.008999999999999994,-0.0540540540540541,0.107,0.03877420783172201
2013,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,0.47,0.107,13.2,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.45,0.42,,No sub-annual data available,3,0,0.1875,0.111,-0.0040000000000000036,-0.010000000000000009,0.0020000000000000018,-0.03738317757009349,0.089,0.049787068367863944
2014,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,0.45,0.089,14.1,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.42,0.4,,No sub-annual data available,3,0,0.25,0.107,-0.018000000000000002,-0.022000000000000006,-0.013999999999999999,-0.20224719101123598,0.083,0.06392786120670757
2015,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,0.42,0.083,16.6,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.4,0.41,,No sub-annual data available,3,0,0.3125,0.089,-0.0059999999999999915,-0.023999999999999994,0.01200000000000001,-0.07228915662650592,0.073,0.0820849986238988
2016,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,0.4,0.073,18.8,2019,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.41,0.42,,No sub-annual data available,3,0,0.375,0.083,-0.010000000000000009,-0.016,-0.004000000000000017,-0.13698630136986314,0.069,0.10539922456186433
2017,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,0.41,0.069,30.0,2019,NISR Labour Force Survey microdata,1,0.42,13.12,,No sub-annual data available,3,0,0.4375,0.073,-0.00399999999999999,-0.013999999999999999,0.006000000000000019,-0.05797101449275347,0.065,0.1353352832366127
2018,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),historical proxy only,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,0.42,0.065,45.0,2019,NISR Labour Force Survey microdata,1,13.12,14.88,,No sub-annual data available,3,0,0.5,0.069,-0.0040000000000000036,-0.007999999999999993,-1.3877787807814457e-17,-0.06153846153846159,1.94,0.17377394345044514
2019,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,13.12,1.94,1881.5,2019,NISR Labour Force Survey microdata,1,14.88,16.97,,No sub-annual data available,3,0,0.5625,0.065,1.875,1.871,1.879,0.9664948453608248,2.165,0.22313016014842982
2020,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,14.88,2.165,1987.9,2019,NISR Labour Force Survey microdata,1,16.97,19.79,,No sub-annual data available,3,1,0.625,1.94,0.2250000000000001,2.1,-1.65,0.10392609699769056,2.448,0.2865047968601901
2021,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,16.97,2.448,1337.6,2019,NISR Labour Force Survey microdata,1,19.79,22.39,,No sub-annual data available,3,2,0.6875,2.165,0.2829999999999999,0.508,0.05799999999999983,0.11560457516339866,2.778,0.36787944117144233
2022,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,19.79,2.778,2383.1,2019,NISR Labour Force Survey microdata,1,22.39,23.68,,No sub-annual data available,3,3,0.75,2.448,0.33000000000000007,0.613,0.04700000000000015,0.1187904967602592,3.04,0.4723665527410147
2023,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,22.39,3.04,4143.2,2019,NISR Labour Force Survey microdata,1,23.68,24.4,,No sub-annual data available,3,4,0.8125,2.778,0.262,0.5920000000000001,-0.06800000000000006,0.0861842105263158,3.176,0.6065306597126334
2024,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,23.68,3.176,5729.5,2019,NISR Labour Force Survey microdata,1,24.4,29.0,,No sub-annual data available,3,5,0.875,3.04,0.13600000000000012,0.39800000000000013,-0.1259999999999999,0.04282115869017636,3.294,0.7788007830714049
2025,annual,ICT,Data & Analytics,Data Engineer,Database/network professionals (proxy),trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,24.4,3.294,7023.1,2019,NISR Labour Force Survey microdata,1,29.0,,,No sub-annual data available,3,6,0.9375,3.176,0.11799999999999988,0.254,-0.018000000000000238,0.03582270795385546,3.197,1.0
2010,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.38,0.088,4.9,2020,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.34,0.33,,No sub-annual data available,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.023517745856009107
2011,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,0.34,0.078,5.8,2020,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.33,0.32,,No sub-annual data available,4,0,0.0625,0.088,-0.009999999999999995,0.0,0.0,-0.12820512820512814,0.075,0.0301973834223185
2012,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,0.33,0.075,7.2,2020,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.32,0.3,,No sub-annual data available,4,0,0.125,0.078,-0.0030000000000000027,-0.012999999999999998,0.006999999999999992,-0.040000000000000036,0.072,0.03877420783172201
2013,annual,ICT,Data & Analytics,Data Scientist,ICT professionals (proxy),historical proxy only,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,0.32,0.072,8.9,2020,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.3,0.28,,No sub-annual data available,4,0,0.1875,0.075,-0.0030000000000000027,-0.006000000000000005,0.0,-0.041666666666666706,0.059,0.049787068367863944
